SEQ='P '     NUCCHG=16                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  87181251.1    NPRNT= 6
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S2 3P2             (3)1( 0.0)        0.0 
     2          3S2 3P2             (3)1( 1.0)      299.1 
     3          3S2 3P2             (3)1( 2.0)      855.7 
     4          3S2 3P2             (1)2( 2.0)    14486.5 
     5          3S2 3P2             (1)0( 0.0)    43550.0 
     6          3S1 3P3             (5)0( 2.0)    52344.0 

   PARENT CONFG INDEXING                BWNP=  87173173.9    NPRNT= 2
   ---------------------
   INDP         CODE                       WI        WNP
   ----         ----                 --------  ----------
     1          3S2 3P2             (     7.0)        0.0 
     2          3S1 3P3             (    19.5)    96766.0 

   IC AVERAGED CONFG INDEXING           BWNR=  87248893.3   NCFG=   6
   --------------------------
   INDX  INDP   CODE                       WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 --------  ----------      -----------
     1     1    3S2 3P2 4S1         (    14.5)        0.0      0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
     2     1    3S2 3P2 4P1         (    44.5)    18975.7      0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
     3     1    3S2 3P2 4D1         (    69.5)    39950.6      0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
     4     2    3S1 3P3 4S1         (     4.5)    43872.4      0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
     5     1    3S2 3P2 4F1         (    97.5)    45619.5      0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
     6     2    3S1 3P3 4P1         (    14.5)    61600.2      0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00

   NL-SHELL INDEXING & AUGER RATES                     NLREP=203
   -------------------------------
   ILREP   N   L
     1   270   1     .067      67636.1  .933      76290.3
     1   330   1     .067      67638.1  .933      76292.3
     1   390   1     .067      67639.3  .933      76293.4
     1   480   1     .067      67640.3  .933      76294.4
     1   580   1     .067      67640.9  .933      76295.0
     1   700   1     .067      67641.3  .933      76295.5
     1   850   1     .067      67641.6  .933      76295.7
     1   999   1     .067      67641.7  .933      76295.9
     1     5   2     .933      53037.2  .067      91041.0
     1     6   2     .600      54128.6  .400      72883.7
     1     7   2     .600      58014.6  .400      76769.5
     1     8   2     .600      60517.8  .400      79272.7
     1     9   2     .600      62207.7  .400      80962.7
     1    10   2     .600      63398.6  .400      82153.7
     1    11   2     .600      64268.3  .400      83023.4
     1    12   2     .600      64922.4  .400      83677.6
     1    13   2     .600      65426.7  .400      84181.8
     1    14   2     .600      65823.5  .400      84578.7
     1    15   2     .600      66141.3  .400      84896.5
     1    16   2     .600      66399.7  .400      85154.9
     1    17   2     .600      66612.8  .400      85368.1
     1    18   2     .600      66790.5  .400      85545.8
     1    19   2     .600      66940.3  .400      85695.6
     1    20   2     .600      67067.6  .400      85822.9
     1    21   2     .600      67176.9  .400      85932.1
     1    22   2     .600      67271.2  .400      86026.5
     1    23   2     .600      67353.3  .400      86108.6
     1    24   2     .267      67074.3  .733      77782.9
     1    25   2     .267      67137.6  .733      77846.1
     1    32   2     .267      67425.2  .733      78133.8
     1    39   2     .067      67346.7  .933      76000.8
     1    47   2     .067      67439.5  .933      76093.7
     1    57   2     .067      67504.9  .933      76159.0
     1    70   2     .067      67551.4  .933      76205.6
     1    85   2     .067      67580.8  .933      76234.9
     1   100   2     .067      67597.9  .933      76252.1
     1   125   2     .067      67613.9  .933      76268.1
     1   150   2     .067      67622.5  .933      76276.7
     1   180   2     .067      67628.6  .933      76282.7
     1   220   2     .067      67633.1  .933      76287.2
     1   270   2     .067      67636.1  .933      76290.3
     1   330   2     .067      67638.1  .933      76292.3
