SEQ='SI'     NUCCHG=14                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  63529903.3   NPRNTI= 5   NPRNTF= 5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S2 3P1             (2)1( 0.5)        0.0 
     2          3S2 3P1             (2)1( 1.5)      276.8 
     3          3S1 3P2             (4)1( 0.5)    35412.3 
     4          3S1 3P2             (4)1( 1.5)    35509.5 
     5          3S1 3P2             (4)1( 2.5)    35669.3 

   IC RESOLVED LEVEL INDEXING           BWNR=  63523229.5   NLVL= 298
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 - -   --  ----------      -----------
   104     2    3S2 3P1 7P1         (3)0( 1.0)    25111.1*     0.00E+00
   105     1    3S2 3P1 6H1         (1)4( 4.0)    25132.7*
   106     1    3S2 3P1 6H1         (3)4( 5.0)    25132.7*
   107     1    3S2 3P1 6H1         (3)6( 5.0)    25132.8*
   108     1    3S2 3P1 6H1         (3)6( 6.0)    25132.8*
   109     1    3S2 3P1 6G1         (3)3( 4.0)    25133.2*
   110     1    3S2 3P1 6G1         (1)3( 3.0)    25133.6*
   111     1    3S2 3P1 6G1         (3)5( 4.0)    25134.6*
   112     1    3S2 3P1 6G1         (3)5( 5.0)    25134.7*
   113     2    3S2 3P1 6P1         (1)0( 0.0)    25151.5*     0.00E+00
   114     2    3S2 3P1 4D1         (1)2( 2.0)    25152.1*     0.00E+00
   115     2    3S2 3P1 7P1         (1)2( 2.0)    25207.4*     0.00E+00
   116     1    3S2 3P1 6F1         (3)4( 3.0)    25215.7*
   117     1    3S2 3P1 6F1         (3)3( 3.0)    25222.1*
   118     1    3S2 3P1 6F1         (3)4( 4.0)    25226.3*
   119     1    3S2 3P1 6F1         (3)3( 2.0)    25227.1*
   120     2    3S2 3P1 7D1         (1)2( 2.0)    25287.2*     0.00E+00
   121     1    3S2 3P1 8S1         (3)1( 0.0)    25297.1*
   122     2    3S2 3P1 7D1         (3)2( 3.0)    25305.4*     0.00E+00
   123     2    3S2 3P1 7D1         (3)3( 4.0)    25310.6*     0.00E+00
   124     1    3S2 3P1 8S1         (3)1( 1.0)    25317.0*
   125     2    3S2 3P1 7D1         (3)1( 2.0)    25338.0*     0.00E+00
   126     2    3S2 3P1 7D1         (3)1( 1.0)    25351.2*     0.00E+00
   127     2    3S2 3P1 7D1         (1)3( 3.0)    25368.7*     0.00E+00
   128     2    3S2 3P1 7D1         (3)1( 0.0)    25372.6*     0.00E+00
   129     2    3S2 3P1 7D1         (1)1( 1.0)    25390.9*     0.00E+00
   130     2    3S2 3P1 6G1         (1)4( 4.0)    25417.3*     0.00E+00
   131     2    3S2 3P1 6G1         (3)4( 5.0)    25417.4*     0.00E+00
   132     2    3S2 3P1 6H1         (1)5( 5.0)    25422.0*     0.00E+00
   133     2    3S2 3P1 6H1         (3)5( 6.0)    25422.0*     0.00E+00
   134     2    3S2 3P1 6G1         (3)4( 4.0)    25424.6*     0.00E+00
   135     2    3S2 3P1 6G1         (3)4( 3.0)    25425.0*     0.00E+00
   136     2    3S2 3P1 6H1         (3)5( 4.0)    25425.0*     0.00E+00
   137     2    3S2 3P1 6H1         (3)5( 5.0)    25425.0*     0.00E+00
   138     2    3S2 3P1 6H1         (1)6( 6.0)    25432.3*     0.00E+00
   139     2    3S2 3P1 6H1         (3)6( 7.0)    25432.3*     0.00E+00
   140     2    3S2 3P1 6H1         (3)4( 3.0)    25435.2*     0.00E+00
   141     2    3S2 3P1 6H1         (3)4( 4.0)    25435.2*     0.00E+00
   142     2    3S2 3P1 6G1         (3)5( 6.0)    25438.4*     0.00E+00
   143     2    3S2 3P1 6G1         (1)5( 5.0)    25438.5*     0.00E+00
   144     2    3S2 3P1 6G1         (3)3( 2.0)    25443.9*     0.00E+00
   145     2    3S2 3P1 6G1         (3)3( 3.0)    25444.7*     0.00E+00
   146     2    3S2 3P1 6F1         (1)3( 3.0)    25494.3*     0.00E+00
   147     2    3S2 3P1 6F1         (3)3( 4.0)    25501.0*     0.00E+00
   148     2    3S2 3P1 6F1         (3)2( 3.0)    25516.5*     0.00E+00
   149     2    3S2 3P1 6F1         (3)2( 2.0)    25521.5*     0.00E+00
   150     2    3S2 3P1 6F1         (3)4( 5.0)    25522.5*     0.00E+00
   151     2    3S2 3P1 6F1         (1)4( 4.0)    25539.3*     0.00E+00
   152     2    3S2 3P1 6F1         (3)2( 1.0)    25547.3*     0.00E+00
   153     2    3S2 3P1 6F1         (1)2( 2.0)    25553.0*     0.00E+00
   154     2    3S2 3P1 8S1         (3)1( 2.0)    25592.4*     0.00E+00
   155     2    3S2 3P1 4D1         (3)3( 2.0)    25623.5*     0.00E+00
   156     2    3S2 3P1 8S1         (1)1( 1.0)    25642.1*     0.00E+00
   157     1    3S2 3P1 8P1         (3)2( 1.0)    25667.3*
   158     2    3S2 3P1 7P1         (1)0( 0.0)    25667.4*     0.00E+00
   159     2    3S2 3P1 4D1         (3)3( 3.0)    25695.8*     0.00E+00
   160     1    3S2 3P1 8P1         (3)1( 1.0)    25699.2*
   161     1    3S2 3P1 8D1         (3)3( 2.0)    25705.9*
   162     1    3S2 3P1 8P1         (3)2( 2.0)    25715.7*
   163     1    3S2 3P1 8D1         (3)2( 2.0)    25744.5*
   164     1    3S2 3P1 8D1         (3)3( 3.0)    25750.5*
   165     1    3S2 3P1 8P1         (3)1( 0.0)    25754.7*
   166     1    3S2 3P1 8D1         (3)2( 1.0)    25768.4*
   167     2    3S2 3P1 4D1         (3)3( 4.0)    25850.3*     0.00E+00
   168     1    3S2 3P1 7F1         (3)4( 3.0)    25928.1*
   169     1    3S2 3P1 7F1         (3)2( 3.0)    25930.0*
   170     1    3S2 3P1 7F1         (3)4( 4.0)    25931.1*
   171     1    3S2 3P1 7F1         (1)2( 2.0)    25931.8*
   172     1    3S2 3P1 7H1         (1)4( 4.0)    25941.6*
   173     1    3S2 3P1 7H1         (3)4( 5.0)    25941.6*
   174     1    3S2 3P1 7I1         (1)5( 5.0)    25941.6*
   175     1    3S2 3P1 7I1         (3)5( 6.0)    25941.6*
   176     1    3S2 3P1 7I1         (3)7( 6.0)    25941.6*
   177     1    3S2 3P1 7H1         (3)6( 5.0)    25941.6*
   178     1    3S2 3P1 7I1         (3)7( 7.0)    25941.6*
   179     1    3S2 3P1 7H1         (3)6( 6.0)    25941.6*
   180     1    3S2 3P1 7G1         (3)3( 4.0)    25942.2*
   181     1    3S2 3P1 7G1         (1)3( 3.0)    25942.7*
   182     1    3S2 3P1 7G1         (3)5( 4.0)    25943.4*
   183     1    3S2 3P1 7G1         (3)5( 5.0)    25943.5*
   184     2    3S2 3P1 8P1         (1)1( 1.0)    25951.1*     0.00E+00
   185     2    3S2 3P1 8P1         (3)2( 3.0)    25976.3*     0.00E+00
   186     2    3S2 3P1 8P1         (3)1( 2.0)    25987.4*     0.00E+00
   187     2    3S2 3P1 8D1         (1)2( 2.0)    25987.7*     0.00E+00
   188     2    3S2 3P1 8D1         (3)3( 4.0)    26015.0*     0.00E+00
   189     2    3S2 3P1 8D1         (3)2( 3.0)    26017.3*     0.00E+00
   190     2    3S2 3P1 8P1         (3)0( 1.0)    26024.5*     0.00E+00
   191     2    3S2 3P1 8D1         (3)1( 2.0)    26057.4*     0.00E+00
   192     2    3S2 3P1 8P1         (1)2( 2.0)    26068.8*     0.00E+00
   193     2    3S2 3P1 8D1         (3)1( 1.0)    26074.5*     0.00E+00
   194     2    3S2 3P1 8D1         (3)1( 0.0)    26097.1*     0.00E+00
