  statistical weighted cross sections of He II  to n=10 from Nahar
   171.43173007965086        6.2467002861844710E-020
   171.97595779418947        6.1886002835226947E-020
   172.52018550872802        6.1313002808975695E-020
   173.06441322326660        6.0747002783045135E-020
   173.60864093780518        6.0188002757435268E-020
   174.15286865234376        5.9636002732146106E-020
   174.69709636688233        5.9090002707131818E-020
   175.24132408142091        5.8551002682438235E-020
   175.78555179595946        5.8018002658019538E-020
   176.32977951049807        5.7491002633875715E-020
   176.87400722503662        5.6971002610052585E-020
   177.41823493957517        5.6457002586504340E-020
   177.96246265411378        5.5949002563230983E-020
   178.50669036865233        5.5447002540232499E-020
   179.05091808319091        5.4952002517554720E-020
   179.59514579772949        5.4461002495060191E-020
   180.13937351226807        5.3977002472886348E-020
   180.68360122680664        5.3498002450941585E-020
   181.22782894134522        5.3025002429271708E-020
   181.77205665588377        5.2557002407830893E-020
   182.31628437042238        5.2095002386664965E-020
   182.86051208496093        5.1638002365728098E-020
   183.40473979949951        5.1187002345066117E-020
   183.94896751403809        5.0740002324587392E-020
   184.49319522857667        5.0299002304383548E-020
   185.03742294311522        4.9862002284362952E-020
   185.58165065765382        4.9431002264617255E-020
   186.12587837219237        4.9005002245100614E-020
   186.67010608673095        4.8583002225767228E-020
   187.21433380126953        4.8166002206662917E-020
   187.75856151580811        4.7754002187787667E-020
   188.30278923034669        4.7346002169095672E-020
   188.84701694488527        4.6943002150632752E-020
   189.39124465942382        4.6545002132398899E-020
   189.93547237396243        4.6151002114348296E-020
   190.47970008850098        4.5761002096480954E-020
   191.02392780303953        4.5376002078842674E-020
   191.56815551757813        4.4995002061387656E-020
   192.11238323211668        4.4618002044115887E-020
   192.65661094665526        4.4245002027027374E-020
   193.20083866119384        4.3876002010122116E-020
   193.74506637573242        4.3512001993445932E-020
   194.28929409027100        4.3151001976907185E-020
   194.83352180480958        4.2794001960551687E-020
   195.37774951934813        4.2442001944425264E-020
   195.92197723388674        4.2093001928436284E-020
   196.46620494842529        4.1747001912584740E-020
   197.01043266296386        4.1406001896962265E-020
   197.55466037750244        4.1068001881477239E-020
   198.09888809204102        4.0734001866175456E-020
   198.64311580657957        4.0403001851011122E-020
   199.18734352111818        4.0076001836030038E-020
   199.73157123565673        3.9752001821186403E-020
   200.27579895019531        3.9432001806526017E-020
   200.82002666473389        3.9115001792003069E-020
   201.36425437927247        3.8801001777617570E-020
   201.90848209381105        3.8491001763415314E-020
   202.45270980834962        3.8184001749350513E-020
   202.99693752288817        3.7880001735423143E-020
   203.54116523742678        3.7580001721679035E-020
   204.08539295196533        3.7282001708026552E-020
   204.62962066650388        3.6988001694557318E-020
   205.17384838104249        3.6697001681225533E-020
   205.71807609558104        3.6408001667985373E-020
   206.26230381011962        3.6123001654928469E-020
   206.80653152465820        3.5840001641963183E-020
   207.35075923919678        3.5561001629181165E-020
   207.89498695373535        3.5284001616490771E-020
   208.43921466827393        3.5010001603937809E-020
   208.98344238281248        3.4739001591522296E-020
   209.52767009735109        3.4471001579244226E-020
   210.07189781188964        3.4205001567057780E-020
   210.61612552642822        3.3942001555008772E-020
   211.16035324096680        3.3682001543097207E-020
   211.70458095550538        3.3425001531323091E-020
   212.24880867004393        3.3170001519640594E-020
   212.79303638458254        3.2917001508049727E-020
   213.33726409912109        3.2667001496596304E-020
   213.88149181365966        3.2420001485280311E-020
   214.42571952819824        3.2175001474055962E-020
   214.96994724273682        3.1932001462923231E-020
   215.51417495727540        3.1692001451927937E-020
   216.05840267181398        3.1454001441024280E-020
   216.60263038635253        3.1218001430212242E-020
   217.14685810089114        3.0985001419537647E-020
   217.69108581542969        3.0754001408954683E-020
   218.23531352996824        3.0526001398509162E-020
   218.77954124450682        3.0299001388109447E-020
   219.32376895904542        3.0075001377847175E-020
   219.86799667358397        2.9853001367676534E-020
   220.41222438812255        2.9633001357597518E-020
   220.95645210266110        2.9415001347610133E-020
   221.50067981719971        2.9200001337760184E-020
   222.04490753173829        2.8986001327956054E-020
   222.58913524627684        2.8775001318289361E-020
   223.13336296081542        2.8565001308668481E-020
