   14   22         96.907      1.022e-04      3.667e+07                2p3 2P0.5 -        2s.2p(1P).3p 2S0.5
   14   23         94.047      3.708e-06      1.434e+06                2p3 2P0.5 -          2p2(3P).3s 4P0.5
   14   24        -91.645      2.687e-02      1.027e+10                2p3 2P0.5 -          2p2(3P).3s 2P0.5
   14   25        -85.473      4.160e-02      1.832e+10                2p3 2P0.5 -          2p2(3P).3d 4D0.5
   14   26        -85.314      1.073e-01      4.744e+10                2p3 2P0.5 -          2p2(3P).3d 2P0.5
   14   27         83.859      1.731e-05      8.415e+06                2p3 2P0.5 -          2p2(3P).3d 4P0.5
   14   28        -82.888      8.870e-02      4.159e+10                2p3 2P0.5 -          2p2(1S).3s 2S0.5
   14   29         81.369      3.071e-01      1.555e+11                2p3 2P0.5 -          2p2(1D).3d 2P0.5
   14   30        -79.607      8.031e-02      4.088e+10                2p3 2P0.5 -          2p2(1D).3d 2S0.5
    1   31         74.858      1.051e+00      3.152e+11             2s2.2p 2P0.5 -              2s2.3d 2D1.5
    1   32         70.952      5.604e-02      1.869e+10             2s2.2p 2P0.5 -        2s.2p(3P).3p 2P1.5
    1   33        -71.362      1.879e-02      6.153e+09             2s2.2p 2P0.5 -        2s.2p(3P).3p 4D1.5
    1   34        -70.757      4.538e-04      1.511e+08             2s2.2p 2P0.5 -        2s.2p(3P).3p 4S1.5
    1   35        -70.344      8.445e-05      2.846e+07             2s2.2p 2P0.5 -        2s.2p(3P).3p 4P1.5
    1   36         69.415      3.807e-01      1.326e+11             2s2.2p 2P0.5 -        2s.2p(3P).3p 2D1.5
    1   37         64.493      2.442e-03      9.796e+08             2s2.2p 2P0.5 -        2s.2p(1P).3p 2P1.5
    1   38        -64.500      5.527e-02      2.215e+10             2s2.2p 2P0.5 -        2s.2p(1P).3p 2D1.5
    1   39         62.925      2.539e-06      1.073e+06             2s2.2p 2P0.5 -          2p2(3P).3s 4P1.5
    1   40        -61.811      9.224e-03      4.026e+09             2s2.2p 2P0.5 -          2p2(3P).3s 2P1.5
    1   41         61.021      6.517e-03      2.917e+09             2s2.2p 2P0.5 -          2p2(1D).3s 2D1.5
    1   42        -59.416      3.188e-05      1.506e+07             2s2.2p 2P0.5 -          2p2(3P).3d 4F1.5
    1   43        -59.036      2.237e-03      1.070e+09             2s2.2p 2P0.5 -          2p2(3P).3d 2P1.5
    1   44        -58.971      4.782e-04      2.293e+08             2s2.2p 2P0.5 -          2p2(3P).3d 4D1.5
    1   45         58.251      5.022e-08      2.480e+04             2s2.2p 2P0.5 -          2p2(3P).3d 4P1.5
    1   46        -57.595      3.123e-02      1.570e+10             2s2.2p 2P0.5 -          2p2(3P).3d 2D1.5
    1   47        -57.032      1.512e-02      7.750e+09             2s2.2p 2P0.5 -          2p2(1D).3d 2D1.5
    1   48         56.987      3.501e-03      1.783e+09             2s2.2p 2P0.5 -          2p2(1D).3d 2P1.5
    1   49        -54.089      4.298e-03      2.450e+09             2s2.2p 2P0.5 -          2p2(1S).3d 2D1.5
   14   31        123.276      7.648e-06      8.727e+05                2p3 2P0.5 -              2s2.3d 2D1.5
   14   32        113.029      1.106e-06      1.495e+05                2p3 2P0.5 -        2s.2p(3P).3p 2P1.5
   14   33       -114.071      1.328e-06      1.623e+05                2p3 2P0.5 -        2s.2p(3P).3p 4D1.5
   14   34       -112.533      1.573e-07      1.976e+04                2p3 2P0.5 -        2s.2p(3P).3p 4S1.5
   14   35       -111.492      1.601e-07      2.050e+04                2p3 2P0.5 -        2s.2p(3P).3p 4P1.5
   14   36        109.178      3.015e-04      4.362e+07                2p3 2P0.5 -        2s.2p(3P).3p 2D1.5
   14   37         97.476      3.140e-03      5.630e+08                2p3 2P0.5 -        2s.2p(1P).3p 2P1.5
