SEQ='NE'     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 108038846.2   NPRNTI= 2   NPRNTF= 3
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P5             (2)1( 1.5)        0.0 
     2          2S2 2P5             (2)1( 0.5)    18303.3 
     3          2S1 2P6             (2)0( 0.5)   622608.3*

   IC RESOLVED LEVEL INDEXING           BWNR= 111415705.7   NLVL= 329
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 - -   --  ----------      -----------
   110     2    2S2 2P5 6S1         (3)1( 1.0)  3107974.8 
   111     1    2S2 2P5 6P1         (3)1( 0.0)  3109371.9 
   112     1    2S2 2P5 6D1         (3)1( 0.0)  3121190.4 
   113     1    2S2 2P5 6D1         (3)1( 1.0)  3121639.4 
   114     1    2S2 2P5 6D1         (3)3( 4.0)  3122065.1 
   115     2    2S2 2P5 6P1         (3)2( 1.0)  3122161.5 
   116     1    2S2 2P5 6D1         (3)1( 2.0)  3122303.6 
   117     1    2S2 2P5 6D1         (3)3( 3.0)  3122508.2 
   118     2    2S2 2P5 6P1         (3)1( 1.0)  3122530.0 
   119     2    2S2 2P5 6P1         (1)2( 2.0)  3122773.1 
   120     1    2S2 2P5 6D1         (1)2( 2.0)  3123100.9 
   121     1    2S2 2P5 6D1         (3)2( 3.0)  3123385.1 
   122     1    2S2 2P5 6D1         (1)1( 1.0)  3126101.6 
   123     2    2S2 2P5 6P1         (1)0( 0.0)  3126420.6 
   124     1    2S2 2P5 6F1         (3)2( 1.0)  3128951.7 
   125     1    2S2 2P5 6F1         (3)2( 2.0)  3129098.1 
   126     1    2S2 2P5 6F1         (3)4( 5.0)  3129230.5 
   127     1    2S2 2P5 6F1         (1)4( 4.0)  3129263.4 
   128     1    2S2 2P5 6F1         (3)3( 3.0)  3129502.6 
   129     1    2S2 2P5 6F1         (3)3( 2.0)  3129638.1 
   130     1    2S2 2P5 6G1         (3)3( 2.0)  3129724.2 
   131     1    2S2 2P5 6F1         (1)3( 3.0)  3129739.0 
   132     1    2S2 2P5 6G1         (3)3( 3.0)  3129743.7 
   133     1    2S2 2P5 6F1         (3)3( 4.0)  3129777.8 
   134     1    2S2 2P5 6G1         (1)5( 5.0)  3129817.6 
   135     1    2S2 2P5 6G1         (3)5( 6.0)  3129830.9 
   136     1    2S2 2P5 6H1         (3)4( 3.0)  3129839.9 
   137     1    2S2 2P5 6H1         (3)4( 4.0)  3129850.1 
   138     1    2S2 2P5 6H1         (1)6( 6.0)  3129880.1 
   139     1    2S2 2P5 6H1         (3)6( 7.0)  3129890.4 
   140     1    2S2 2P5 6H1         (3)5( 4.0)  3129981.2 
   141     1    2S2 2P5 6G1         (3)4( 3.0)  3129984.3 
   142     1    2S2 2P5 6H1         (3)5( 5.0)  3129990.9 
   143     1    2S2 2P5 6G1         (3)4( 4.0)  3129995.6 
   144     1    2S2 2P5 6H1         (1)5( 5.0)  3130021.6 
   145     1    2S2 2P5 6H1         (3)5( 6.0)  3130031.4 
   146     1    2S2 2P5 6G1         (1)4( 4.0)  3130073.8 
   147     1    2S2 2P5 6G1         (3)4( 5.0)  3130088.7 
   148     2    2S2 2P5 6D1         (3)3( 2.0)  3140634.0 
   149     2    2S2 2P5 6D1         (3)2( 2.0)  3140754.9 
   150     2    2S2 2P5 6D1         (1)3( 3.0)  3141080.1 
