SEQ='C '     NUCCHG= 8                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  15626082.5   NPRNTI= 5   NPRNTF= 8
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P1             (2)1( 0.5)        0.0 
     2          2S2 2P1             (2)1( 1.5)      345.6 
     3          2S1 2P2             (4)1( 0.5)    66324.9 
     4          2S1 2P2             (4)1( 1.5)    66445.7 
     5          2S1 2P2             (4)1( 2.5)    66645.8 
     6          2S1 2P2             (2)2( 1.5)   130918.0*
     7          2S1 2P2             (2)2( 2.5)   130919.1*
     8          2S1 2P2             (2)1( 0.5)   168711.6*

   IC RESOLVED LEVEL INDEXING           BWNR=  15798840.8   NLVL= 941
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 - -   --  ----------      -----------
   155     2    2S2 2P1 5D1         (1)3( 3.0)   135022.4 
   156     5    2S1 2P2 3D1         (3)3( 2.0)   135466.7 
   157     5    2S1 2P2 3D1         (3)3( 3.0)   135572.0 
   158     5    2S1 2P2 3D1         (3)3( 4.0)   135713.4 
   159     1    2S2 2P1 6S1         (3)1( 0.0)   138968.2 
   160     1    2S2 2P1 6S1         (3)1( 1.0)   139041.3 
   161     2    2S2 2P1 6S1         (3)1( 2.0)   139312.5 
   162     2    2S2 2P1 6S1         (1)1( 1.0)   139721.2 
   163     1    2S2 2P1 6P1         (1)1( 1.0)   141294.9 
   164     1    2S2 2P1 6P1         (1)2( 2.0)   141493.4 
   165     1    2S2 2P1 6P1         (3)0( 1.0)   141793.1 
   166     2    2S2 2P1 6P1         (3)2( 1.0)   141935.0 
   167     2    2S2 2P1 6P1         (3)2( 2.0)   142047.4 
   168     2    2S2 2P1 6P1         (3)2( 3.0)   142201.9 
   169     1    2S2 2P1 6P1         (3)1( 0.0)   142519.5 
   170     2    2S2 2P1 6P1         (3)1( 1.0)   142626.0 
   171     2    2S2 2P1 6P1         (3)1( 2.0)   142725.9 
   172     5    2S1 2P2 3D1         (3)2( 1.0)   142746.9 
   173     5    2S1 2P2 3D1         (3)2( 2.0)   142784.0 
   174     5    2S1 2P2 3D1         (3)2( 3.0)   142838.2 
   175     1    2S2 2P1 6D1         (3)3( 2.0)   144248.0 
   176     2    2S2 2P1 6P1         (1)0( 0.0)   144297.0 
   177     1    2S2 2P1 6D1         (3)3( 3.0)   144409.9 
   178     1    2S2 2P1 6D1         (1)2( 2.0)   144467.5 
   179     2    2S2 2P1 6D1         (3)3( 4.0)   144594.3 
   180     1    2S2 2P1 6D1         (3)2( 1.0)   144919.1 
   181     2    2S2 2P1 6D1         (3)2( 2.0)   144949.8 
   182     7    2S1 2P2 3S1         (1)2( 2.0)   144995.0 
   183     2    2S2 2P1 6D1         (3)2( 3.0)   145087.2 
   184     1    2S2 2P1 6F1         (3)3( 2.0)   145155.3 
   185     1    2S2 2P1 6F1         (1)3( 3.0)   145155.4 
   186     1    2S2 2P1 6F1         (3)3( 3.0)   145175.6 
   187     2    2S2 2P1 6D1         (3)1( 2.0)   145200.2 
   188     1    2S2 2P1 6F1         (3)3( 4.0)   145204.3 
   189     2    2S2 2P1 6D1         (3)1( 1.0)   145243.6 
   190     2    2S2 2P1 6D1         (3)1( 0.0)   145264.6 
   191     1    2S2 2P1 6G1         (3)4( 4.0)   145315.6 
   192     1    2S2 2P1 6G1         (3)4( 3.0)   145315.8 
   193     1    2S2 2P1 6G1         (3)5( 4.0)   145318.9 
   194     1    2S2 2P1 6G1         (3)5( 5.0)   145319.5 
   195     1    2S2 2P1 6H1         (1)4( 4.0)   145321.3 
   196     1    2S2 2P1 6H1         (3)4( 5.0)   145321.4 
   197     1    2S2 2P1 6H1         (3)6( 5.0)   145322.2 
   198     1    2S2 2P1 6H1         (3)6( 6.0)   145322.4 
   199     2    2S2 2P1 6F1         (3)4( 3.0)   145471.8 
   200     2    2S2 2P1 6F1         (3)4( 4.0)   145496.1 
   201     2    2S2 2P1 6F1         (3)2( 3.0)   145556.6 
   202     2    2S2 2P1 6F1         (3)4( 5.0)   145582.4 
   203     2    2S2 2P1 6F1         (3)2( 2.0)   145594.3 
   204     2    2S2 2P1 6G1         (1)4( 4.0)   145634.2 
   205     2    2S2 2P1 6G1         (3)4( 5.0)   145634.7 
   206     2    2S2 2P1 6F1         (3)2( 1.0)   145649.0 
   207     2    2S2 2P1 6H1         (1)5( 5.0)   145650.3 
   208     2    2S2 2P1 6H1         (3)5( 6.0)   145650.4 
   209     2    2S2 2P1 6H1         (3)5( 4.0)   145661.1 
   210     2    2S2 2P1 6H1         (3)5( 5.0)   145661.2 
   211     2    2S2 2P1 6G1         (3)3( 4.0)   145661.6 
   212     2    2S2 2P1 6G1         (1)3( 3.0)   145661.9 
   213     2    2S2 2P1 6F1         (1)4( 4.0)   145680.7 
   214     2    2S2 2P1 6H1         (1)6( 6.0)   145683.7 
   215     2    2S2 2P1 6H1         (3)6( 7.0)   145683.8 
   216     2    2S2 2P1 6H1         (3)4( 3.0)   145693.5 
   217     2    2S2 2P1 6H1         (3)4( 4.0)   145693.7 
   218     2    2S2 2P1 6G1         (3)5( 6.0)   145694.2 
   219     2    2S2 2P1 6G1         (1)5( 5.0)   145694.7 
   220     2    2S2 2P1 6G1         (3)3( 2.0)   145717.6 
   221     2    2S2 2P1 6G1         (3)3( 3.0)   145718.4 
   222     2    2S2 2P1 6F1         (1)2( 2.0)   145741.4 
   223     2    2S2 2P1 6D1         (1)3( 3.0)   146239.0 
   224     2    2S2 2P1 6D1         (1)1( 1.0)   146250.4 
   225     1    2S2 2P1 7S1         (3)1( 0.0)   148693.8 
   226     1    2S2 2P1 7S1         (3)1( 1.0)   148754.8 
   227     2    2S2 2P1 7S1         (3)1( 2.0)   149038.4 
   228     2    2S2 2P1 7S1         (1)1( 1.0)   149301.8 
   229     1    2S2 2P1 7P1         (1)1( 1.0)   150139.0 
   230     1    2S2 2P1 7P1         (3)2( 1.0)   150388.8 
   231     1    2S2 2P1 7P1         (3)2( 2.0)   150484.8 
   232     2    2S2 2P1 7P1         (3)0( 1.0)   150506.6 
   233     2    2S2 2P1 7P1         (3)2( 3.0)   150691.7 
   234     1    2S2 2P1 7P1         (3)1( 0.0)   150854.9 
   235     2    2S2 2P1 7P1         (3)1( 1.0)   150986.4 
   236     2    2S2 2P1 7P1         (3)1( 2.0)   151067.8 
   237     2    2S2 2P1 7P1         (1)2( 2.0)   151845.8 
   238     1    2S2 2P1 7D1         (3)3( 2.0)   151917.7 
