SEQ='SI'     NUCCHG=14                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  63496278.1   NPRNTI= 5   NPRNTF= 5
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S2 3P1             (2)1( 2.5)        0.0 
     2          3S1 3P2             (4)1( 5.5)    39975.6 
     3          3S1 3P2             (2)2( 4.5)    55707.8 
     4          3S1 3P2             (2)0( 0.5)    73644.4 
     5          3S1 3P2             (2)1( 2.5)    80374.1 

   LS RESOLVED TERM INDEXING            BWNR=  63582352.7   NTRM= 821
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 - -   --  ----------      -----------
   120     1    3S2 3P1 7I1         (1)7( 7.0)    83836.7 
   121     1    3S2 3P1 7H1         (3)6(19.0)    83837.8 
   122     1    3S2 3P1 7H1         (1)6( 6.0)    83837.8 
   123     1    3S2 3P1 7I1         (3)5(16.0)    83837.8 
   124     1    3S2 3P1 7I1         (1)5( 5.0)    83837.8 
   125     1    3S2 3P1 8D1         (3)1( 4.0)    83839.0 
   126     1    3S2 3P1 7G1         (3)5(16.0)    83839.6 
   127     1    3S2 3P1 7H1         (3)4(13.0)    83839.7 
   128     1    3S2 3P1 7H1         (1)4( 4.0)    83839.7 
   129     1    3S2 3P1 7G1         (1)5( 5.0)    83839.8 
   130     1    3S2 3P1 8S1         (1)1( 1.0)    83842.6 
   131     1    3S2 3P1 7G1         (1)3( 3.0)    83844.2 
   132     1    3S2 3P1 7G1         (3)3(10.0)    83844.3 
   133     1    3S2 3P1 7F1         (1)4( 4.0)    83845.0 
   134     1    3S2 3P1 7F1         (3)2( 7.0)    83851.5 
   135     1    3S2 3P1 7F1         (1)2( 2.0)    83859.1 
   136     1    3S2 3P1 8D1         (3)2( 7.0)    83861.9 
   137     1    3S2 3P1 8D1         (1)2( 2.0)    83940.1 
   138     1    3S2 3P1 8D1         (1)3( 3.0)    83945.7 
   139     1    3S2 3P1 8D1         (1)1( 1.0)    84196.5 
   140     1    3S2 3P1 8D1         (3)3(10.0)    84240.2 
   141     1    3S2 3P1 8F1         (1)3( 3.0)    84335.8 
   142     1    3S2 3P1 8F1         (3)3(10.0)    84337.6 
   143     1    3S2 3P1 8G1         (1)4( 4.0)    84351.2 
   144     1    3S2 3P1 8G1         (3)4(13.0)    84351.2 
   145     1    3S2 3P1 8H1         (1)5( 5.0)    84355.2 
   146     1    3S2 3P1 8H1         (3)5(16.0)    84355.2 
   147     1    3S2 3P1 8I1         (1)6( 6.0)    84357.1 
   148     1    3S2 3P1 8I1         (3)6(19.0)    84357.1 
   149     1    3S2 3P1 8J1         (3)7(22.0)    84358.1 
   150     1    3S2 3P1 8J1         (1)7( 7.0)    84358.1 
   151     1    3S2 3P1 8F1         (3)4(13.0)    84359.3 
   152     1    3S2 3P1 8J1         (3)8(25.0)    84360.7 
   153     1    3S2 3P1 8J1         (1)8( 8.0)    84360.7 
   154     1    3S2 3P1 8I1         (3)7(22.0)    84361.1 
   155     1    3S2 3P1 8I1         (1)7( 7.0)    84361.1 
   156     1    3S2 3P1 8J1         (3)6(19.0)    84361.1 
   157     1    3S2 3P1 8J1         (1)6( 6.0)    84361.1 
   158     1    3S2 3P1 8H1         (3)6(19.0)    84361.7 
   159     1    3S2 3P1 8H1         (1)6( 6.0)    84361.7 
   160     1    3S2 3P1 8I1         (3)5(16.0)    84361.7 
   161     1    3S2 3P1 8I1         (1)5( 5.0)    84361.7 
   162     1    3S2 3P1 8G1         (3)5(16.0)    84363.0 
   163     1    3S2 3P1 8H1         (3)4(13.0)    84363.1 
   164     1    3S2 3P1 8H1         (1)4( 4.0)    84363.1 
   165     1    3S2 3P1 8G1         (1)5( 5.0)    84363.1 
   166     1    3S2 3P1 8G1         (1)3( 3.0)    84366.1 
   167     1    3S2 3P1 8G1         (3)3(10.0)    84366.1 
   168     1    3S2 3P1 8F1         (1)4( 4.0)    84366.6 
   169     1    3S2 3P1 8F1         (3)2( 7.0)    84370.7 
   170     1    3S2 3P1 8F1         (1)2( 2.0)    84376.1 
   171     1    3S2 3P1 3D1         (3)1( 4.0)    91305.8*
   172     1    3S1 3P3             (1)2( 2.0)    94334.1*
   173     1    3S2 3P1 3D1         (3)2( 7.0)    94857.9*
   174     2    3S1 3P2 4S1         (5)1( 7.0)    98139.5*     0.00E+00
   175     2    3S1 3P2 3D1         (3)1( 4.0)   103777.1*     0.00E+00
   176     1    3S2 3P1 3D1         (1)3( 3.0)   105393.8*
   177     2    3S1 3P2 4S1         (3)1( 4.0)   105556.1*     1.74E+14
   178     2    3S1 3P2 3D1         (5)3(17.0)   106677.9*     0.00E+00
   179     2    3S1 3P2 4P1         (5)2(12.0)   107772.3*     0.00E+00
   180     2    3S1 3P2 4P1         (3)0( 1.0)   107790.4*     0.00E+00
   181     1    3P4                 (1)2( 2.0)   107996.0*
   182     1    3S2 3P1 3D1         (1)1( 1.0)   108656.1*
   183     2    3S1 3P2 4P1         (5)0( 2.0)   108694.2*     0.00E+00
   184     2    3S1 3P2 4P1         (5)1( 7.0)   108982.6*     0.00E+00
   185     2    3S1 3P2 3D1         (5)2(12.0)   110110.1*     0.00E+00
   186     2    3S1 3P2 4P1         (3)2( 7.0)   111372.1*     8.11E+14
   187     2    3S1 3P2 4P1         (3)1( 4.0)   113021.2*     3.70E+14
   188     2    3S1 3P2 5S1         (5)1( 7.0)   114097.7*     0.00E+00
   189     3    3S1 3P2 4S1         (3)2( 7.0)   115086.2*     1.23E+14  0.00E+00
   190     2    3S1 3P2 5S1         (3)1( 4.0)   115525.8*     6.37E+13
   191     2    3S1 3P2 3D1         (3)3(10.0)   116921.6*     2.97E+13
   192     2    3S1 3P2 5P1         (3)0( 1.0)   116967.8*     0.00E+00
   193     2    3S1 3P2 5P1         (5)2(12.0)   117034.4*     0.00E+00
   194     2    3S1 3P2 5P1         (5)0( 2.0)   117288.9*     0.00E+00
   195     2    3S1 3P2 4D1         (3)1( 4.0)   117390.3*     1.23E+10
   196     2    3S1 3P2 5P1         (5)1( 7.0)   117395.8*     0.00E+00
   197     2    3S1 3P2 4D1         (5)1( 7.0)   117424.2*     0.00E+00
   198     2    3S1 3P2 4D1         (5)3(17.0)   117439.5*     0.00E+00
