SEQ='MG'     NUCCHG=16                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  85995131.5   NPRNTI= 3   NPRNTF= 5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
   189     2    3P1 5G1             (1)4( 4.0)   576663.9 
   190     2    3P1 5G1             (3)4( 3.0)   576693.5 
   191     2    3P1 5G1             (3)4( 4.0)   576779.0 
   192     2    3P1 5G1             (3)4( 5.0)   576813.5 
   193     3    3P1 5F1             (3)2( 3.0)   578065.1 
   194     3    3P1 5G1             (3)5( 4.0)   578223.4 
   195     3    3P1 5F1             (3)2( 2.0)   578317.1 
   196     3    3P1 5G1             (3)5( 5.0)   578330.3 
   197     3    3P1 5F1             (3)2( 1.0)   578503.8 
   198     3    3P1 5G1             (3)5( 6.0)   578792.0 
   199     3    3P1 5G1             (3)3( 4.0)   578876.4 
   200     3    3P1 5G1             (3)3( 3.0)   578981.3 
   201     3    3P1 5G1             (1)5( 5.0)   579027.6 
   202     3    3P1 5G1             (3)3( 2.0)   579328.3 
   203     3    3P1 5G1             (1)3( 3.0)   579472.9 
   204     3    3P1 5F1             (1)2( 2.0)   581903.4 
   205     3    3P1 5F1             (1)4( 4.0)   582376.9 
   206     2    3P1 6S1             (3)1( 0.0)   586419.1*     3.85E+13
   207     2    3P1 6S1             (3)1( 1.0)   586581.3*     6.11E+13
   208     3    3P1 6S1             (3)1( 2.0)   587379.9*     3.81E+13  0.00E+00
   209     3    3P1 6S1             (1)1( 1.0)   588037.4*     2.23E+14  0.00E+00
   210     2    3P1 6P1             (1)1( 1.0)   593947.2*     2.32E+13
   211     2    3P1 6P1             (3)2( 1.0)   594540.9*     6.88E+13
   212     2    3P1 6P1             (3)2( 2.0)   594674.5*     9.45E+13
   213     2    3P1 6P1             (3)1( 0.0)   595086.0*     2.59E+12
   214     3    3P1 6P1             (3)2( 3.0)   595338.0*     9.78E+13  0.00E+00
   215     3    3P1 6P1             (3)1( 1.0)   595351.5*     1.25E+13  0.00E+00
   216     3    3P1 6P1             (3)1( 2.0)   595717.1*     1.13E+13  0.00E+00
   217     3    3P1 6P1             (3)0( 1.0)   596346.5*     5.31E+13  0.00E+00
   218     3    3P1 6P1             (1)2( 2.0)   597075.0*     2.24E+14  0.00E+00
   219     3    3P1 6P1             (1)0( 0.0)   599380.7*     1.91E+14  0.00E+00
   220     2    3P1 6D1             (1)2( 2.0)   606231.1*     3.77E+12
   221     2    3P1 6D1             (3)2( 2.0)   606443.7*     6.02E+12
   222     2    3P1 6D1             (3)2( 1.0)   606491.1*     3.86E+12
   223     2    3P1 6D1             (3)2( 3.0)   606577.4*     8.82E+12
   224     3    3P1 6D1             (3)3( 2.0)   607160.2*     8.05E+12  0.00E+00
   225     3    3P1 6D1             (3)3( 3.0)   607307.5*     9.71E+12  0.00E+00
   226     3    3P1 6D1             (3)3( 4.0)   607549.1*     1.48E+13  0.00E+00
   227     3    3P1 6D1             (3)1( 2.0)   607981.3*     3.04E+13  0.00E+00
   228     3    3P1 6D1             (3)1( 1.0)   608162.6*     3.37E+13  0.00E+00
   229     3    3P1 6D1             (3)1( 0.0)   608300.0*     3.36E+13  0.00E+00
   230     3    3P1 6D1             (1)3( 3.0)   608492.9*     6.80E+13  0.00E+00
   231     3    3P1 6D1             (1)1( 1.0)   609056.6*     8.50E+13  0.00E+00
   232     2    3P1 6F1             (1)3( 3.0)   609630.3*     4.00E+13
   233     2    3P1 6F1             (3)3( 3.0)   610003.1*     5.37E+13
   234     2    3P1 6F1             (3)4( 4.0)   610125.8*     8.46E+13
   235     2    3P1 6F1             (3)3( 2.0)   610206.9*     1.75E+12
   236     3    3P1 6F1             (3)4( 3.0)   610638.9*     5.99E+13  0.00E+00
   237     2    3P1 6G1             (1)4( 4.0)   610692.2*     1.92E+12
   238     2    3P1 6G1             (3)4( 3.0)   610725.6*     2.28E+11
   239     2    3P1 6G1             (3)4( 4.0)   610759.6*     3.41E+13
   240     3    3P1 6F1             (3)3( 4.0)   610804.1*     6.96E+13  0.00E+00
   241     2    3P1 6G1             (3)4( 5.0)   610804.8*     3.22E+13
   242     3    3P1 6F1             (3)4( 5.0)   610879.3*     1.50E+14  0.00E+00
   243     2    3P1 6H1             (3)5( 5.0)   610981.0*     4.13E+10
   244     2    3P1 6H1             (3)5( 4.0)   610981.8*     7.39E+10
   245     2    3P1 6H1             (1)5( 5.0)   611018.3*     1.48E+13
   246     2    3P1 6H1             (3)5( 6.0)   611021.4*     1.48E+13
   247     3    3P1 6F1             (3)2( 3.0)   611549.1*     2.65E+13  0.00E+00
   248     3    3P1 6G1             (3)5( 4.0)   611702.6*     9.20E+13  0.00E+00
   249     3    3P1 6F1             (3)2( 2.0)   611750.9*     2.80E+13  0.00E+00
   250     3    3P1 6G1             (3)5( 5.0)   611778.6*     9.95E+13  0.00E+00
