SEQ='MG'     NUCCHG=16                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  85995587.8   NPRNTI= 3   NPRNTF= 5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S1                 (2)0( 0.5)        0.0 
     2          3P1                 (2)1( 0.5)   104925.8 
     3          3P1                 (2)1( 1.5)   105886.2 
     4          3D1                 (2)2( 1.5)   246131.8*
     5          3D1                 (2)2( 2.5)   246189.3*

   IC RESOLVED LEVEL INDEXING           BWNR=  86268068.1   NLVL= 424
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 - -   --  ----------      -----------
   135     1    3S1 8F1             (3)3( 4.0)   229337.7 
   136     1    3S1 8H1             (3)5( 4.0)   229612.8 
   137     1    3S1 8H1             (3)5( 5.0)   229613.0 
   138     1    3S1 8H1             (3)5( 6.0)   229613.1 
   139     1    3S1 8I1             (3)6( 5.0)   229613.6 
   140     1    3S1 8I1             (3)6( 6.0)   229613.7 
   141     1    3S1 8J1             (3)7( 6.0)   229613.8 
   142     1    3S1 8J1             (3)7( 7.0)   229613.8 
   143     1    3S1 8I1             (3)6( 7.0)   229613.8 
   144     1    3S1 8I1             (1)6( 6.0)   229613.9 
   145     1    3S1 8J1             (3)7( 8.0)   229613.9 
   146     1    3S1 8J1             (1)7( 7.0)   229613.9 
   147     1    3S1 8H1             (1)5( 5.0)   229614.1 
   148     1    3S1 8F1             (1)3( 3.0)   229740.0 
   149     1    3S1 8G1             (3)4( 3.0)   229967.2 
   150     1    3S1 8G1             (3)4( 4.0)   229972.3 
   151     1    3S1 8G1             (3)4( 5.0)   229979.0 
   152     1    3S1 8G1             (1)4( 4.0)   230855.3 
   153     2    3P1 5P1             (1)1( 1.0)   235878.5 
   154     2    3P1 5P1             (3)2( 2.0)   236445.0 
   155     2    3P1 5P1             (3)2( 1.0)   236471.7 
   156     3    3P1 5P1             (3)2( 3.0)   237011.0 
   157     3    3P1 5P1             (1)2( 2.0)   238494.4 
   158     2    3P1 5P1             (3)1( 0.0)   238765.2 
   159     3    3P1 5P1             (3)1( 1.0)   238941.4 
   160     3    3P1 5P1             (3)1( 2.0)   239395.5 
   161     3    3P1 5P1             (3)0( 1.0)   240527.9 
   162     3    3P1 5P1             (1)0( 0.0)   247725.2 
   163     4    3D1 4S1             (3)2( 1.0)   250516.6 
   164     5    3D1 4S1             (3)2( 2.0)   250542.8 
   165     5    3D1 4S1             (3)2( 3.0)   250582.7 
   166     5    3D1 4S1             (1)2( 2.0)   256106.4 
   167     2    3P1 5D1             (3)2( 1.0)   258083.9 
   168     2    3P1 5D1             (3)2( 2.0)   258159.6 
   169     2    3P1 5D1             (3)2( 3.0)   258219.9 
   170     2    3P1 5D1             (1)2( 2.0)   258745.2 
   171     3    3P1 5D1             (1)3( 3.0)   259010.2 
   172     3    3P1 5D1             (3)3( 2.0)   259836.4 
   173     3    3P1 5D1             (3)3( 3.0)   260135.6 
   174     3    3P1 5D1             (3)3( 4.0)   260436.9 
   175     3    3P1 5D1             (1)1( 1.0)   261873.7 
   176     3    3P1 5D1             (3)1( 2.0)   262146.5 
   177     3    3P1 5D1             (3)1( 1.0)   262488.4 
   178     3    3P1 5D1             (3)1( 0.0)   262556.9 
   179     2    3P1 5F1             (1)3( 3.0)   265237.4 
   180     2    3P1 5F1             (3)3( 3.0)   266036.2 
   181     2    3P1 5F1             (3)3( 2.0)   266129.8 
   182     2    3P1 5F1             (3)3( 4.0)   266167.1 
   183     2    3P1 5G1             (3)4( 4.0)   266609.1 
   184     2    3P1 5G1             (3)4( 3.0)   266610.4 
   185     2    3P1 5G1             (1)4( 4.0)   266661.3 
   186     2    3P1 5G1             (3)4( 5.0)   266665.9 
   187     3    3P1 5F1             (3)4( 3.0)   266689.2 
   188     3    3P1 5F1             (3)4( 4.0)   266911.9 
   189     3    3P1 5F1             (3)4( 5.0)   267143.6 
   190     3    3P1 5G1             (3)5( 4.0)   267864.0 
   191     3    3P1 5G1             (3)5( 5.0)   267875.8 
   192     3    3P1 5G1             (3)5( 6.0)   268391.2 
   193     3    3P1 5G1             (1)5( 5.0)   268403.3 
   194     3    3P1 5F1             (3)2( 3.0)   269117.4 
   195     3    3P1 5G1             (3)3( 4.0)   269340.5 
   196     3    3P1 5F1             (3)2( 2.0)   269378.7 
   197     3    3P1 5G1             (3)3( 3.0)   269402.1 
   198     3    3P1 5F1             (3)2( 1.0)   269577.6 
   199     3    3P1 5G1             (3)3( 2.0)   269808.3 
   200     3    3P1 5G1             (1)3( 3.0)   269877.6 
   201     3    3P1 5F1             (1)4( 4.0)   272337.5 
   202     3    3P1 5F1             (1)2( 2.0)   272666.5*     0.00E+00  0.00E+00
   203     2    3P1 6S1             (3)1( 0.0)   276182.7*     0.00E+00
   204     2    3P1 6S1             (3)1( 1.0)   276296.4*     0.00E+00
