SEQ='AL'     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 113539305.5   NPRNTI= 4   NPRNTF=18
   ---------------------
   INDP         CODE                 S L   WI        WNP
    96     6    2P6 3P2 3D1         (2)3( 3.5)   526113.9 
    97     6    2P6 3S1 3D2         (4)3( 1.5)   528936.4 
    98     6    2P6 3S1 3D2         (4)3( 2.5)   529015.6 
    99     6    2P6 3S1 3D2         (4)3( 3.5)   529126.2 
   100     6    2P6 3S1 3D2         (4)3( 4.5)   529267.7 
   101     9    2P6 3S1 3D2         (4)1( 0.5)   543913.0 
   102     9    2P6 3S1 3D2         (4)1( 1.5)   543963.0 
   103     9    2P6 3S1 3D2         (4)1( 2.5)   544045.5 
   104     1    2P6 3S2 5D1         (2)2( 1.5)   545799.2 
   105     1    2P6 3S2 5D1         (2)2( 2.5)   546303.3 
   106     5    2P6 3S1 3P1 4P1     (2)2( 1.5)   550721.3 
   107     5    2P6 3S1 3P1 4P1     (2)2( 2.5)   551020.4 
   108     5    2P6 3S1 3P1 4P1     (2)1( 0.5)   551385.1 
   109     5    2P6 3S1 3P1 4P1     (2)1( 1.5)   551787.9 
   110     2    2P6 3S1 3P1 4D1     (4)2( 1.5)   552227.0 
   111     3    2P6 3S1 3P1 4D1     (4)2( 0.5)   552237.6 
   112     2    2P6 3S1 3P1 4D1     (4)2( 2.5)   552342.8 
   113     3    2P6 3S1 3P1 4D1     (4)2( 3.5)   552765.0 
   114     3    2P6 3S1 3P1 4D1     (2)2( 1.5)   552933.6 
   115     3    2P6 3S1 3P1 4D1     (2)2( 2.5)   553406.8 
   116     3    2P6 3S1 3P1 4D1     (4)3( 1.5)   554088.6 
   117     3    2P6 3S1 3P1 4D1     (4)3( 2.5)   554469.3 
   118     4    2P6 3S1 3P1 4D1     (4)3( 3.5)   554965.5 
   119     4    2P6 3S1 3P1 4D1     (4)3( 4.5)   555583.3 
   120     5    2P6 3S1 3P1 4P1     (2)0( 0.5)   556946.0 
   121     4    2P6 3S1 3P1 4D1     (4)1( 2.5)   558221.4 
   122     1    2P6 3S2 5F1         (2)3( 2.5)   558683.4 
   123     1    2P6 3S2 5F1         (2)3( 3.5)   558696.3 
   124     4    2P6 3S1 3P1 4D1     (4)1( 1.5)   558745.0 
   125     4    2P6 3S1 3P1 4D1     (4)1( 0.5)   559064.8 
   126     4    2P6 3S1 3P1 4D1     (2)3( 2.5)   560283.2 
   127     9    2P6 3P2 3D1         (2)2( 2.5)   560390.4 
