117    12 2p2(1D).3p      2  3 F  2.5  6          0.000       0.000000    2414769.500      22.004999     N12
118    12 2p2(1D).3p      2  2 D  2.5  6          0.000       0.000000    2434248.000      22.182501     N13
119    11 2s.2p(3P).3d    4  3 F  3.5  8          0.000       0.000000    2126028.750      19.373800     O1 
120    11 2s.2p(3P).3d    4  2 D  3.5  8    2153830.000      19.627144    2143707.500      19.534901     O2 
121    11 2s.2p(3P).3d    2  3 F  3.5  8    2193190.000      19.985819    2188491.250      19.943001     O3 
122    11 2s.2p(1P).3d    2  3 F  3.5  8          0.000       0.000000    2306458.750      21.018000     O4 
123    12 2p2(3P).3p      4  2 D  3.5  8          0.000       0.000000    2349047.750      21.406099     O5 
124    12 2p2(1D).3p      2  3 F  3.5  8          0.000       0.000000    2416097.250      22.017099     O6 
125    11 2s.2p(3P).3d    4  3 F  4.5 10          0.000       0.000000    2129057.500      19.401400     P1 
qq -1
%filename: si_10.elvlc
%energy levels (n=2): Edlen, B., 1983, Phys.Scripta, 28, 483
%energy levels (n=3): Martin,W.C., Sugar,J., Musgrove,A., Dalton,G.R., 1995, NIST Database Version 1.0
%energy levels (n=3): Martin,W.C., Zalubas, R., 1983, J.Phys.Chem.Ref.Data, 12, 323.
%Theoretical energy levels (n=2): Zhang,H.L., Graziani,M., Pradhan,A.K., 1994, A&A, 283, 319.
%theoretical energy levels (n=3): Sampson and Zhang, 1995, unpublished calculations
%produced as part of the Arcetri/Cambridge/NRL 'CHIANTI' atomic data collaboration
%
% K.P.Dere and E.Landi 1999
 -1

qq
    1    2      14306.178      0.000e+00      2.970e+00             2s2.2p 2P0.5 -              2s2.2p 2P1.5
    1    3        621.115      3.450e-05      3.020e+05             2s2.2p 2P0.5 -              2s.2p2 4P0.5
    1    4        611.712      1.550e-06      7.000e+03             2s2.2p 2P0.5 -              2s.2p2 4P1.5
    1    6        347.409      1.360e-01      1.850e+09             2s2.2p 2P0.5 -              2s.2p2 2D1.5
    1    8        272.006      1.110e-01      4.940e+09             2s2.2p 2P0.5 -              2s.2p2 2S0.5
    1    9        256.366      1.750e-01      8.850e+09             2s2.2p 2P0.5 -              2s.2p2 2P0.5
    1   10        253.788      1.070e-01      2.740e+09             2s2.2p 2P0.5 -              2s.2p2 2P1.5
    2    3        649.305      2.790e-05      2.230e+05             2s2.2p 2P1.5 -              2s.2p2 4P0.5
    2    4        639.036      1.560e-05      6.440e+04             2s2.2p 2P1.5 -              2s.2p2 4P1.5
    2    5        624.779      8.140e-05      2.350e+05             2s2.2p 2P1.5 -              2s.2p2 4P2.5
    2    6        356.055      2.040e-02      2.710e+08             2s2.2p 2P1.5 -              2s.2p2 2D1.5
    2    7        356.030      2.310e-01      2.040e+09             2s2.2p 2P1.5 -              2s.2p2 2D2.5
    2    8        277.278      9.400e-02      4.120e+09             2s2.2p 2P1.5 -              2s.2p2 2S0.5
    2    9        261.044      1.630e-01      8.060e+09             2s2.2p 2P1.5 -              2s.2p2 2P0.5
    2   10        258.371      5.800e-01      1.450e+10             2s2.2p 2P1.5 -              2s.2p2 2P1.5
    3   11        287.099      1.330e-01      2.640e+09             2s.2p2 4P0.5 -                 2p3 4S1.5
    4   11        289.153      2.670e-01      5.270e+09             2s.2p2 4P1.5 -                 2p3 4S1.5
    5   11        292.170      4.000e-01      7.910e+09             2s.2p2 4P2.5 -                 2p3 4S1.5
    6   12        347.725      2.410e-01      3.710e+09             2s.2p2 2D1.5 -                 2p3 2D1.5
    6   13        347.692      3.940e-02      3.600e+08             2s.2p2 2D1.5 -                 2p3 2D2.5
    6   14        278.631      1.760e-01      7.480e+09             2s.2p2 2D1.5 -                 2p3 2P0.5
    6   15        278.138      4.230e-02      8.980e+08             2s.2p2 2D1.5 -                 2p3 2P1.5
    7   12        347.749      4.430e-02      6.070e+08             2s.2p2 2D2.5 -                 2p3 2D1.5
    7   13        347.717      4.490e-01      4.100e+09             2s.2p2 2D2.5 -                 2p3 2D2.5
    7   15        278.153      2.890e-01      6.130e+09             2s.2p2 2D2.5 -                 2p3 2P1.5
    8   14        358.290      2.710e-02      6.950e+08             2s.2p2 2S0.5 -                 2p3 2P0.5
    8   15        357.474      1.270e-01      1.620e+09             2s.2p2 2S0.5 -                 2p3 2P1.5
    9   12        539.486      1.640e-01      9.060e+08             2s.2p2 2P0.5 -                 2p3 2D1.5
    9   14        389.597      1.680e-01      3.570e+09             2s.2p2 2P0.5 -                 2p3 2P0.5
    9   15        388.632      2.540e-02      2.700e+08             2s.2p2 2P0.5 -                 2p3 2P1.5
   10   12        551.272      2.550e-02      1.400e+08             2s.2p2 2P1.5 -                 2p3 2D1.5
   10   13        551.190      2.890e-01      1.060e+09             2s.2p2 2P1.5 -                 2p3 2D2.5
   10   14        395.707      6.410e-02      1.360e+09             2s.2p2 2P1.5 -                 2p3 2P0.5
   10   15        394.712      3.700e-01      3.920e+09             2s.2p2 2P1.5 -                 2p3 2P1.5
    1   16        -55.238      4.013e-02      4.386e+10             2s2.2p 2P0.5 -          2s2(1S).3s 2S0.5
    1   17        -48.677      7.555e-02      1.063e+11             2s2.2p 2P0.5 -        2s.2p(3P).3p 4D0.5
    1   18         48.436      8.156e-02      1.163e+11             2s2.2p 2P0.5 -        2s.2p(3P).3p 2P0.5
    1   19        -47.997      4.555e-04      6.594e+08             2s2.2p 2P0.5 -        2s.2p(3P).3p 4P0.5
    1   20         46.891      9.190e-02      1.400e+11             2s2.2p 2P0.5 -        2s.2p(3P).3p 2S0.5
    1   21        -44.725      5.456e-02      9.096e+10             2s2.2p 2P0.5 -        2s.2p(1P).3p 2P0.5
    1   22         44.518      8.084e-03      1.353e+10             2s2.2p 2P0.5 -        2s.2p(1P).3p 2S0.5
    1   23        -43.942      1.729e-04      2.987e+08             2s2.2p 2P0.5 -          2p2(3P).3s 4P0.5
    1   24        -43.123      2.066e-02      3.705e+10             2s2.2p 2P0.5 -          2p2(3P).3s 2P0.5
    1   25        -41.355      8.069e-04      1.574e+09             2s2.2p 2P0.5 -          2p2(3P).3d 4D0.5
    1   26        -41.265      3.600e-03      7.050e+09             2s2.2p 2P0.5 -          2p2(3P).3d 2P0.5
    1   27        -41.008      2.116e-06      4.197e+06             2s2.2p 2P0.5 -          2p2(3P).3d 4P0.5
    1   28        -40.681      1.859e-03      3.747e+09             2s2.2p 2P0.5 -          2p2(1S).3s 2S0.5
    1   29        -39.838      7.513e-03      1.579e+10             2s2.2p 2P0.5 -          2p2(1D).3d 2P0.5
    1   30        -39.611      2.551e-03      5.421e+09             2s2.2p 2P0.5 -          2p2(1D).3d 2S0.5
   14   16        -85.942      1.168e-05      5.087e+06                2p3 2P0.5 -          2s2(1S).3s 2S0.5
   14   17        -71.042      1.847e-07      1.185e+05                2p3 2P0.5 -        2s.2p(3P).3p 4D0.5
   14   18         70.530      1.821e-07      1.244e+05                2p3 2P0.5 -        2s.2p(3P).3p 2P0.5
   14   19        -69.605      4.108e-06      2.747e+06                2p3 2P0.5 -        2s.2p(3P).3p 4P0.5
   14   20         67.301      2.724e-03      2.046e+09                2p3 2P0.5 -        2s.2p(3P).3p 2S0.5
   14   21        -62.928      7.034e-03      5.771e+09                2p3 2P0.5 -        2s.2p(1P).3p 2P0.5
   14   22         62.517      2.120e-04      1.818e+08                2p3 2P0.5 -        2s.2p(1P).3p 2S0.5
   14   23        -61.388      1.177e-05      1.015e+07                2p3 2P0.5 -          2p2(3P).3s 4P0.5
   14   24        -59.802      2.793e-02      2.541e+10                2p3 2P0.5 -          2p2(3P).3s 2P0.5
   14   25        -56.454      3.018e-02      3.085e+10                2p3 2P0.5 -          2p2(3P).3d 4D0.5
   14   26        -56.288      1.347e-01      1.385e+11                2p3 2P0.5 -          2p2(3P).3d 2P0.5
   14   27        -55.811      5.318e-05      5.563e+07                2p3 2P0.5 -          2p2(3P).3d 4P0.5
   14   28        -55.207      8.166e-02      8.733e+10                2p3 2P0.5 -          2p2(1S).3s 2S0.5
   14   29        -53.665      3.370e-01      3.817e+11                2p3 2P0.5 -          2p2(1D).3d 2P0.5
   14   30        -53.253      9.402e-02      1.082e+11                2p3 2P0.5 -          2p2(1D).3d 2S0.5
    1   31         50.524      1.124e+00      7.378e+11             2s2.2p 2P0.5 -              2s2.3d 2D1.5
    1   32        -48.626      4.144e-02      2.922e+10             2s2.2p 2P0.5 -        2s.2p(3P).3p 4D1.5
    1   33         48.385      5.208e-02      3.723e+10             2s2.2p 2P0.5 -        2s.2p(3P).3p 2P1.5
    1   34        -48.201      1.802e-03      1.293e+09             2s2.2p 2P0.5 -        2s.2p(3P).3p 4S1.5
    1   35        -47.950      3.787e-04      2.747e+08             2s2.2p 2P0.5 -        2s.2p(3P).3p 4P1.5
    1   36         47.489      4.332e-01      3.217e+11             2s2.2p 2P0.5 -        2s.2p(3P).3p 2D1.5
    1   37        -44.706      1.661e-03      1.386e+09             2s2.2p 2P0.5 -        2s.2p(1P).3p 2P1.5
    1   38        -44.678      5.778e-02      4.827e+10             2s2.2p 2P0.5 -        2s.2p(1P).3p 2D1.5
    1   39        -43.893      7.932e-06      6.865e+06             2s2.2p 2P0.5 -          2p2(3P).3s 4P1.5
    1   40        -43.045      1.226e-02      1.103e+10             2s2.2p 2P0.5 -          2p2(3P).3s 2P1.5
    1   41        -42.591      7.000e-03      6.434e+09             2s2.2p 2P0.5 -          2p2(1D).3s 2D1.5
    1   42        -41.617      9.307e-05      8.960e+07             2s2.2p 2P0.5 -          2p2(3P).3d 4F1.5
    1   43        -41.371      2.021e-03      1.969e+09             2s2.2p 2P0.5 -          2p2(3P).3d 2P1.5
    1   44        -41.314      7.871e-04      7.689e+08             2s2.2p 2P0.5 -          2p2(3P).3d 4D1.5
    1   45         40.883      2.390e-08      2.392e+04             2s2.2p 2P0.5 -          2p2(3P).3d 4P1.5
    1   46        -40.442      2.953e-02      3.010e+10             2s2.2p 2P0.5 -          2p2(3P).3d 2D1.5
    1   47        -40.136      1.486e-02      1.538e+10             2s2.2p 2P0.5 -          2p2(1D).3d 2D1.5
    1   48        -39.813      2.962e-03      3.116e+09             2s2.2p 2P0.5 -          2p2(1D).3d 2P1.5
    1   49        -38.376      3.557e-03      4.028e+09             2s2.2p 2P0.5 -          2p2(1S).3d 2D1.5
   14   31         75.046      7.562e-06      2.292e+06                2p3 2P0.5 -              2s2.3d 2D1.5
   14   32        -70.934      6.200e-07      1.995e+05                2p3 2P0.5 -        2s.2p(3P).3p 4D1.5
   14   33         70.422      1.101e-07      3.775e+04                2p3 2P0.5 -        2s.2p(3P).3p 2P1.5
   14   34        -70.034      1.951e-07      6.442e+04                2p3 2P0.5 -        2s.2p(3P).3p 4S1.5
   14   35        -69.505      6.302e-07      2.113e+05                2p3 2P0.5 -        2s.2p(3P).3p 4P1.5
   14   36         68.540      4.186e-04      1.517e+08                2p3 2P0.5 -        2s.2p(3P).3p 2D1.5
   14   37        -62.890      3.335e-03      1.370e+09                2p3 2P0.5 -        2s.2p(1P).3p 2P1.5
   14   38        -62.835      5.188e-04      2.135e+08                2p3 2P0.5 -        2s.2p(1P).3p 2D1.5
   14   39        -61.294      9.684e-07      4.190e+05                2p3 2P0.5 -          2p2(3P).3s 4P1.5
   14   40        -59.653      2.174e-02      9.937e+09                2p3 2P0.5 -          2p2(3P).3s 2P1.5
   14   41        -58.784      3.845e-02      1.811e+10                2p3 2P0.5 -          2p2(1D).3s 2D1.5
   14   42        -56.944      9.634e-06      4.838e+06                2p3 2P0.5 -          2p2(3P).3d 4F1.5
   14   43        -56.485      5.166e-02      2.638e+10                2p3 2P0.5 -          2p2(3P).3d 2P1.5
   14   44        -56.379      2.501e-02      1.282e+10                2p3 2P0.5 -          2p2(3P).3d 4D1.5
   14   45         55.579      1.310e-04      7.186e+07                2p3 2P0.5 -          2p2(3P).3d 4P1.5
   14   46        -54.767      4.960e-01      2.695e+11                2p3 2P0.5 -          2p2(3P).3d 2D1.5
   14   47        -54.207      7.412e-01      4.113e+11                2p3 2P0.5 -          2p2(1D).3d 2D1.5
   14   48        -53.620      1.433e-01      8.129e+10                2p3 2P0.5 -          2p2(1D).3d 2P1.5
   14   49        -51.046      8.930e-01      5.595e+11                2p3 2P0.5 -          2p2(1S).3d 2D1.5
    2   16        -55.453      8.227e-02      8.923e+10             2s2.2p 2P1.5 -          2s2(1S).3s 2S0.5
    2   17        -48.843      3.014e-02      4.213e+10             2s2.2p 2P1.5 -        2s.2p(3P).3p 4D0.5
    2   18         48.600      3.216e-02      4.554e+10             2s2.2p 2P1.5 -        2s.2p(3P).3p 2P0.5
    2   19        -48.159      1.991e-04      2.862e+08             2s2.2p 2P1.5 -        2s.2p(3P).3p 4P0.5
    2   20         47.045      2.054e-01      3.107e+11             2s2.2p 2P1.5 -        2s.2p(3P).3p 2S0.5
    2   21        -44.865      3.412e-02      5.654e+10             2s2.2p 2P1.5 -        2s.2p(1P).3p 2P0.5
    2   22         44.657      1.449e-02      2.410e+10             2s2.2p 2P1.5 -        2s.2p(1P).3p 2S0.5
    2   23        -44.077      1.240e-05      2.129e+07             2s2.2p 2P1.5 -          2p2(3P).3s 4P0.5
    2   24        -43.253      1.032e-02      1.840e+10             2s2.2p 2P1.5 -          2p2(3P).3s 2P0.5
    2   25        -41.474      3.599e-04      6.978e+08             2s2.2p 2P1.5 -          2p2(3P).3d 4D0.5
    2   26        -41.385      1.532e-03      2.983e+09             2s2.2p 2P1.5 -          2p2(3P).3d 2P0.5
    2   27        -41.126      4.633e-05      9.136e+07             2s2.2p 2P1.5 -          2p2(3P).3d 4P0.5
    2   28        -40.797      4.441e-03      8.899e+09             2s2.2p 2P1.5 -          2p2(1S).3s 2S0.5
    2   29        -39.949      3.643e-03      7.612e+09             2s2.2p 2P1.5 -          2p2(1D).3d 2P0.5
    2   30        -39.721      6.002e-03      1.269e+10             2s2.2p 2P1.5 -          2p2(1D).3d 2S0.5
   11   16        -76.864      1.093e-07      6.162e+04                2p3 4S1.5 -          2s2(1S).3s 2S0.5
   11   17        -64.723      2.156e-07      1.715e+05                2p3 4S1.5 -        2s.2p(3P).3p 4D0.5
   11   18         64.297      8.728e-07      7.072e+05                2p3 4S1.5 -        2s.2p(3P).3p 2P0.5
   11   19        -63.528      1.233e-03      1.018e+09                2p3 4S1.5 -        2s.2p(3P).3p 4P0.5
   11   20         61.604      3.779e-06      3.341e+06                2p3 4S1.5 -        2s.2p(3P).3p 2S0.5
   11   21        -57.919      2.915e-05      2.895e+07                2p3 4S1.5 -        2s.2p(1P).3p 2P0.5
   11   22         57.571      1.641e-04      1.641e+08                2p3 4S1.5 -        2s.2p(1P).3p 2S0.5
   11   23        -56.612      7.448e-02      7.742e+10                2p3 4S1.5 -          2p2(3P).3s 4P0.5
   11   24        -55.260      1.535e-05      1.674e+07                2p3 4S1.5 -          2p2(3P).3s 2P0.5
   11   25        -52.389      3.493e-03      4.240e+09                2p3 4S1.5 -          2p2(3P).3d 4D0.5
   11   26        -52.246      1.114e-04      1.360e+08                2p3 4S1.5 -          2p2(3P).3d 2P0.5
   11   27        -51.835      1.019e+00      1.264e+12                2p3 4S1.5 -          2p2(3P).3d 4P0.5
