SEQ='B '     NUCCHG= 8                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  15009114.0   NPRNTI= 4   NPRNTF= 9
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
   140     1    1S2 2S2 8S1         (2)0( 0.5)   577483.5 
   141     4    1S2 2S1 2P1 4D1     (2)2( 2.5)   577535.5 
   142     1    1S2 2S2 8P1         (2)1( 0.5)   578843.7 
   143     1    1S2 2S2 8P1         (2)1( 1.5)   578849.8 
   144     3    1S2 2S1 2P1 4F1     (4)3( 1.5)   579159.3 
   145     2    1S2 2S1 2P1 4F1     (4)3( 2.5)   579162.3 
   146     2    1S2 2S1 2P1 4F1     (4)3( 3.5)   579180.4 
   147     3    1S2 2S1 2P1 4F1     (2)3( 2.5)   579242.6 
   148     3    1S2 2S1 2P1 4F1     (4)3( 4.5)   579265.0 
   149     3    1S2 2S1 2P1 4F1     (2)3( 3.5)   579330.7 
   150     1    1S2 2S2 8D1         (2)2( 1.5)   579970.8 
   151     1    1S2 2S2 8D1         (2)2( 2.5)   579972.1 
   152     3    1S2 2S1 2P1 4F1     (4)4( 2.5)   580075.8 
   153     3    1S2 2S1 2P1 4F1     (4)4( 3.5)   580170.2 
   154     4    1S2 2S1 2P1 4F1     (4)4( 4.5)   580324.5 
   155     1    1S2 2S2 8F1         (2)3( 2.5)   580361.2 
   156     1    1S2 2S2 8F1         (2)3( 3.5)   580361.7 
   157     1    1S2 2S2 8G1         (2)4( 3.5)   580402.1 
   158     1    1S2 2S2 8G1         (2)4( 4.5)   580402.4 
   159     1    1S2 2S2 8H1         (2)5( 4.5)   580404.0 
   160     1    1S2 2S2 8H1         (2)5( 5.5)   580404.2 
   161     4    1S2 2S1 2P1 4F1     (4)4( 5.5)   580501.2 
   162     4    1S2 2S1 2P1 4F1     (2)4( 3.5)   580582.6 
   163     5    1S2 2S1 2P1 3D1     (2)1( 0.5)   580707.3 
   164     4    1S2 2S1 2P1 4F1     (4)2( 3.5)   580726.0 
   165     5    1S2 2S1 2P1 3D1     (2)1( 1.5)   580730.9 
   166     4    1S2 2S1 2P1 4F1     (4)2( 2.5)   580836.8 
   167     4    1S2 2S1 2P1 4F1     (2)4( 4.5)   580859.8 
   168     4    1S2 2S1 2P1 4F1     (4)2( 1.5)   580953.7 
   169     6    1S2 2P2 3P1         (2)0( 0.5)   581021.1 
   170     4    1S2 2S1 2P1 4F1     (4)2( 0.5)   581021.8 
   171     4    1S2 2S1 2P1 4F1     (2)2( 2.5)   581077.7 
   172     4    1S2 2S1 2P1 4D1     (2)3( 2.5)   581186.5 
   173     4    1S2 2S1 2P1 4F1     (2)2( 1.5)   581265.4 
   174     4    1S2 2S1 2P1 4D1     (2)3( 3.5)   581503.4 
   175     4    1S2 2S1 2P1 4D1     (2)1( 1.5)   582496.0 
   176     4    1S2 2S1 2P1 4D1     (2)1( 0.5)   582694.9 
   177     7    1S2 2P2 3P1         (4)2( 0.5)   585498.6 
