SEQ='SI'     NUCCHG=14                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  63496462.9   NPRNTI=10   NPRNTF=12
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
   223     2    3S2 3P1 7G1         (1)*( 2.0)    84090.2 
   224     2    3S2 3P1 7G1         (1)*( 3.0)    84090.2 
   225     2    3S2 3P1 7G1         (1)*( 4.0)    84090.2 
   226     2    3S2 3P1 7G1         (1)*( 5.0)    84090.2 
   227     2    3S2 3P1 7G1         (1)*( 3.0)    84090.2 
   228     2    3S2 3P1 7G1         (1)*( 4.0)    84090.2 
   229     2    3S2 3P1 7G1         (1)*( 5.0)    84090.2 
   230     2    3S2 3P1 7G1         (1)*( 6.0)    84090.2 
   231     2    3S2 3P1 7F1         (1)3( 3.0)    84093.4 
   232     2    3S2 3P1 7F1         (3)3( 4.0)    84095.9 
   233     2    3S2 3P1 7H1         (1)*( 3.0)    84102.3 
   234     2    3S2 3P1 7H1         (1)*( 4.0)    84102.3 
   235     2    3S2 3P1 7H1         (1)*( 5.0)    84102.3 
   236     2    3S2 3P1 7H1         (1)*( 6.0)    84102.3 
   237     2    3S2 3P1 7H1         (1)*( 4.0)    84102.3 
   238     2    3S2 3P1 7H1         (1)*( 5.0)    84102.3 
   239     2    3S2 3P1 7H1         (1)*( 6.0)    84102.3 
   240     2    3S2 3P1 7H1         (1)*( 7.0)    84102.3 
   241     2    3S2 3P1 7I1         (1)*( 4.0)    84107.7 
   242     2    3S2 3P1 7I1         (1)*( 5.0)    84107.7 
   243     2    3S2 3P1 7I1         (1)*( 6.0)    84107.7 
   244     2    3S2 3P1 7I1         (1)*( 7.0)    84107.7 
   245     2    3S2 3P1 7I1         (1)*( 5.0)    84107.7 
   246     2    3S2 3P1 7I1         (1)*( 6.0)    84107.7 
   247     2    3S2 3P1 7I1         (1)*( 7.0)    84107.7 
   248     2    3S2 3P1 7I1         (1)*( 8.0)    84107.7 
   249     2    3S2 3P1 7F1         (3)2( 3.0)    84109.0 
   250     2    3S2 3P1 7F1         (1)2( 2.0)    84111.6 
   251     2    3S2 3P1 7F1         (3)4( 5.0)    84117.7 
   252     2    3S2 3P1 7F1         (1)4( 4.0)    84125.0 
   253     2    3S2 3P1 7F1         (3)2( 1.0)    84134.3 
   254     2    3S2 3P1 7F1         (3)2( 2.0)    84137.3 
   255     2    3S2 3P1 7D1         (1)3( 3.0)    84177.1 
   256     1    3S2 3P1 8D1         (3)3( 2.0)    84184.1 
   257     2    3S2 3P1 7D1         (1)1( 1.0)    84187.5 
   258     1    3S2 3P1 8D1         (3)3( 3.0)    84250.5 
   259     1    3S2 3P1 8D1         (3)1( 2.0)    84250.9 
   260     1    3S2 3P1 8D1         (3)2( 1.0)    84307.8 
   261     1    3S2 3P1 8G1         (1)*( 3.0)    84344.8 
   262     1    3S2 3P1 8G1         (1)*( 4.0)    84344.8 
   263     1    3S2 3P1 8G1         (1)*( 4.0)    84344.8 
   264     1    3S2 3P1 8G1         (1)*( 5.0)    84344.8 
   265     1    3S2 3P1 8H1         (1)*( 4.0)    84352.9 
   266     1    3S2 3P1 8H1         (1)*( 5.0)    84352.9 
   267     1    3S2 3P1 8H1         (1)*( 5.0)    84352.9 
   268     1    3S2 3P1 8H1         (1)*( 6.0)    84352.9 
