SEQ='MG'     NUCCHG=14                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  63070713.4   NPRNTI= 3   NPRNTF= 3
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S1                 (2)0( 0.5)        0.0 
     2          3P1                 (2)1( 0.5)    69579.9 
     3          3P1                 (2)1( 1.5)    69898.0 

   IC RESOLVED LEVEL INDEXING           BWNR=  63336716.2   NLVL= 440
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 - -   --  ----------      -----------
   198     2    3P1 5G1             (1)4( 4.0)   295677.5*     4.66E+10
   199     2    3P1 5G1             (3)4( 3.0)   295683.9*     8.65E+10
   200     2    3P1 6S1             (3)1( 0.0)   295709.7*     2.54E+13
   201     2    3P1 5G1             (3)4( 4.0)   295719.4*     3.27E+12
   202     2    3P1 5G1             (3)4( 5.0)   295726.5*     3.13E+12
   203     3    3P1 5F1             (3)4( 5.0)   295775.4*     1.97E+14  0.00E+00
   204     2    3P1 6S1             (3)1( 1.0)   295782.5*     3.39E+13
   205     3    3P1 5D1             (1)3( 3.0)   295972.7*     5.73E+14  0.00E+00
   206     3    3P1 6S1             (3)1( 2.0)   296027.7*     2.52E+13  0.00E+00
   207     3    3P1 5G1             (3)5( 4.0)   296344.8*     5.81E+13  0.00E+00
   208     3    3P1 5G1             (3)5( 5.0)   296373.0*     5.94E+13  0.00E+00
   209     3    3P1 6S1             (1)1( 1.0)   296492.0*     1.97E+14  0.00E+00
   210     3    3P1 5G1             (3)5( 6.0)   296544.9*     6.11E+13  0.00E+00
   211     3    3P1 5F1             (3)2( 3.0)   296574.9*     1.84E+13  0.00E+00
   212     3    3P1 5G1             (1)5( 5.0)   296595.7*     6.37E+13  0.00E+00
   213     3    3P1 5G1             (3)3( 4.0)   296598.5*     5.10E+09  0.00E+00
