 Fe II levels
  n      E(n)       g    label
      28       8     3465.5  0.0000E+00       0.041
      28       9     3487.4  0.0000E+00       0.034
      28      10     3512.7  0.0000E+00       0.011
      28      11     3578.1  0.0000E+00       0.004
      28      12     3610.9  0.0000E+00       0.034
      28      13     3642.2  0.0000E+00       0.026
      28      14     3663.2  0.0000E+00       0.019
      28      15     4065.7  0.0000E+00       0.041
      28      16     4129.9  0.0000E+00       0.034
      28      17     4164.5  0.0000E+00       0.026
      28      18     5245.4  0.0000E+00       0.026
      28      19     5320.0  0.0000E+00       0.049
      28      20     5423.9  0.0000E+00       0.019
      28      21     5426.7  0.0000E+00       0.011
      28      22     5465.9  0.0000E+00       0.026
      28      23     5474.5  0.0000E+00       0.034
      28      24     6973.7  0.0000E+00       0.004
      28      25     7491.8  0.0000E+00       0.019
      28      26    12269.4  0.0000E+00       0.019
      28      27    15992.8  0.0000E+00       0.026
      29       1     2016.4  0.0000E+00       0.101
      29       2     2034.3  0.0000E+00       0.079
      29       3     2046.9  0.0000E+00       0.056
      29       4     2055.1  0.0000E+00       0.034
      29       5     2059.1  0.0000E+00       0.011
      29       6     3313.4  0.0000E+00       0.056
      29       7     3385.9  0.0000E+00       0.146
      29       8     3414.8  0.0000E+00       0.124
      29       9     3436.0  0.0000E+00       0.101
      29      10     3460.6  0.0000E+00       0.034
      29      11     3524.0  0.0000E+00       0.011
      29      12     3555.8  0.0000E+00       0.101
      29      13     3586.2  0.0000E+00       0.079
      29      14     3606.5  0.0000E+00       0.056
      29      15     3996.0  0.0000E+00       0.124
      29      16     4058.0  0.0000E+00       0.101
      29      17     4091.4  0.0000E+00       0.079
      29      18     5129.9  0.0000E+00       0.079
      29      19     5201.3  0.0000E+00       0.146
      29      20     5300.6  0.0000E+00       0.056
      29      21     5303.3  0.0000E+00       0.034
      29      22     5340.7  0.0000E+00       0.079
      29      23     5348.8  0.0000E+00       0.101
      29      24     6771.1  0.0000E+00       0.011
      29      25     7258.5  0.0000E+00       0.056
      29      26    11655.9  0.0000E+00       0.056
      29      27    14966.0  0.0000E+00       0.079
      29      28   233091.1  0.0000E+00       0.067
      30       1     1983.0  0.0000E+00       0.169
      30       2     2000.3  0.0000E+00       0.131
      30       3     2012.5  0.0000E+00       0.094
      30       4     2020.4  0.0000E+00       0.056
      30       5     2024.3  0.0000E+00       0.019
      30       6     3224.1  0.0000E+00       0.094
      30       7     3292.7  0.0000E+00       0.244
      30       8     3320.0  0.0000E+00       0.206
      30       9     3340.1  0.0000E+00       0.169
      30      10     3363.3  0.0000E+00       0.056
      30      11     3423.2  0.0000E+00       0.019
      30      12     3453.2  0.0000E+00       0.169
      30      13     3481.8  0.0000E+00       0.131
      30      14     3501.0  0.0000E+00       0.094
      30      15     3866.9  0.0000E+00       0.206
      30      16     3924.9  0.0000E+00       0.169
      30      17     3956.2  0.0000E+00       0.131
      30      18     4919.0  0.0000E+00       0.131
      30      19     4984.6  0.0000E+00       0.244
      30      20     5075.7  0.0000E+00       0.094
      30      21     5078.2  0.0000E+00       0.056
      30      22     5112.5  0.0000E+00       0.131
      30      23     5120.0  0.0000E+00       0.169
      30      24     6408.5  0.0000E+00       0.019
      30      25     6843.4  0.0000E+00       0.094
      30      26    10621.4  0.0000E+00       0.094
      30      27    13302.4  0.0000E+00       0.131
      30      28    79073.6  0.0000E+00       0.019
      30      29   119670.5  0.0000E+00       0.337
