SEQ='SI'     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 114452481.1   NPRNTI= 5   NPRNTF=10
   ---------------------
   INDP         CODE                 S L   WI        WNP
   238     2    3S2 3P1 7G1         (1)4( 4.0)   251962.6*     0.00E+00
   239     2    3S2 3P1 7G1         (3)4( 5.0)   252017.1*     0.00E+00
   240     2    3S2 3P1 7F1         (3)2( 1.0)   252137.8*     0.00E+00
   241     2    3S2 3P1 7G1         (3)3( 4.0)   252228.4*     0.00E+00
   242     2    3S2 3P1 7G1         (3)3( 3.0)   252273.2*     0.00E+00
   243     2    3S2 3P1 7G1         (3)5( 6.0)   252330.8*     0.00E+00
   244     2    3S2 3P1 7G1         (1)5( 5.0)   252585.5*     0.00E+00
   245     2    3S2 3P1 7G1         (3)3( 2.0)   252619.5*     0.00E+00
   246     2    3S2 3P1 7H1         (1)5( 5.0)   252662.2*     0.00E+00
   247     2    3S2 3P1 7H1         (3)5( 6.0)   252664.5*     0.00E+00
   248     2    3S2 3P1 7G1         (1)3( 3.0)   252688.6*     0.00E+00
   249     2    3S2 3P1 7I1         (1)6( 6.0)   252714.6*     0.00E+00
   250     2    3S2 3P1 7I1         (3)6( 7.0)   252715.0*     0.00E+00
   251     2    3S2 3P1 7F1         (1)4( 4.0)   252724.3*     0.00E+00
   252     2    3S2 3P1 7H1         (3)5( 5.0)   252733.5*     0.00E+00
   253     2    3S2 3P1 7H1         (3)5( 4.0)   252735.5*     0.00E+00
   254     2    3S2 3P1 7I1         (3)6( 5.0)   252747.2*     0.00E+00
   255     2    3S2 3P1 7I1         (3)6( 6.0)   252747.6*     0.00E+00
   256     2    3S2 3P1 7I1         (1)7( 7.0)   252840.3*     0.00E+00
   257     2    3S2 3P1 7I1         (3)7( 8.0)   252840.6*     0.00E+00
   258     2    3S2 3P1 7H1         (3)6( 7.0)   252868.8*     0.00E+00
   259     2    3S2 3P1 7I1         (3)5( 4.0)   252870.8*     0.00E+00
   260     2    3S2 3P1 7I1         (3)5( 5.0)   252871.2*     0.00E+00
   261     2    3S2 3P1 7H1         (1)6( 6.0)   252873.0*     0.00E+00
   262     2    3S2 3P1 7F1         (1)2( 2.0)   252881.4*     0.00E+00
   263     2    3S2 3P1 7H1         (3)4( 3.0)   252935.0*     0.00E+00
   264     2    3S2 3P1 7H1         (3)4( 4.0)   252939.4*     0.00E+00
   265     2    3S2 3P1 8S1         (3)1( 2.0)   253401.4*     0.00E+00
   266     2    3S2 3P1 8S1         (1)1( 1.0)   253625.8*     0.00E+00
   267     1    3S2 3P1 8P1         (3)2( 1.0)   254924.4*
   268     1    3S2 3P1 8P1         (3)2( 2.0)   255248.2*
   269     1    3S2 3P1 8P1         (3)1( 1.0)   255252.5*
   270     1    3S2 3P1 8P1         (3)1( 0.0)   255501.2*
   271     3    3S1 3P2 5P1         (5)2( 0.0)   256154.9*     0.00E+00  0.00E+00
   272     3    3S1 3P2 5P1         (5)2( 1.0)   256315.2*     0.00E+00  0.00E+00
   273     3    3S1 3P2 5P1         (5)2( 2.0)   256660.8*     0.00E+00  0.00E+00
   274     2    3S2 3P1 8P1         (1)1( 1.0)   256800.5*     0.00E+00
   275     2    3S2 3P1 8P1         (3)2( 3.0)   256915.8*     0.00E+00
   276     2    3S2 3P1 8P1         (3)1( 2.0)   257047.2*     0.00E+00
   277     4    3S1 3P2 5P1         (5)2( 3.0)   257207.6*     0.00E+00  0.00E+00  0.00E+00
   278     2    3S2 3P1 8P1         (3)0( 1.0)   257334.7*     0.00E+00
