    5   17       1166.294      3.068e-05      2.510e+04            3s2.3p3 2P1.5 -       3s2.3p2(3P)3d 4F2.5
    3   18       1045.765      4.572e-05      3.490e+04            3s2.3p3 2D2.5 -       3s2.3p2(3P)3d 4F3.5
    3   19       1042.952      0.000e+00      1.907e-01            3s2.3p3 2D2.5 -       3s2.3p2(3P)3d 4F4.5
    8   19       3187.646      0.000e+00      9.824e-01             3s.3p4 4P2.5 -       3s2.3p2(3P)3d 4F4.5
   10   19       7783.509      0.000e+00      8.553e-05             3s.3p4 2D2.5 -       3s2.3p2(3P)3d 4F4.5
   18   19     387823.091      0.000e+00      4.604e-04      3s2.3p2(3P)3d 4F3.5 -       3s2.3p2(3P)3d 4F4.5
    1   20        885.447      4.228e-04      1.800e+06            3s2.3p3 4S1.5 -       3s2.3p2(3P)4s 2P0.5
    2   20       1019.530      5.080e-01      1.630e+09            3s2.3p3 2D1.5 -       3s2.3p2(3P)4s 2P0.5
    4   20       1131.061      1.268e-01      3.310e+08            3s2.3p3 2P0.5 -       3s2.3p2(3P)4s 2P0.5
    5   20       1131.659      4.900e-02      1.280e+08            3s2.3p3 2P1.5 -       3s2.3p2(3P)4s 2P0.5
    1   21        881.358      1.496e-03      3.210e+06            3s2.3p3 4S1.5 -       3s2.3p2(3P)4s 2P1.5
    2   21       1014.112      6.228e-02      1.010e+08            3s2.3p3 2D1.5 -       3s2.3p2(3P)4s 2P1.5
    3   21       1014.439      8.892e-01      1.440e+09            3s2.3p3 2D2.5 -       3s2.3p2(3P)4s 2P1.5
    4   21       1124.397      7.080e-02      9.340e+07            3s2.3p3 2P0.5 -       3s2.3p2(3P)4s 2P1.5
    5   21       1124.988      3.516e-01      4.630e+08            3s2.3p3 2P1.5 -       3s2.3p2(3P)4s 2P1.5
    1   22        875.948      2.490e-05      1.080e+05            3s2.3p3 4S1.5 -       3s2.3p2(3P)3d 4D0.5
    2   22       1006.956      1.110e-04      3.650e+05            3s2.3p3 2D1.5 -       3s2.3p2(3P)3d 4D0.5
    4   22       1115.607      8.854e-06      2.370e+04            3s2.3p3 2P0.5 -       3s2.3p2(3P)3d 4D0.5
    5   22       1116.189      3.119e-06      8.350e+03            3s2.3p3 2P1.5 -       3s2.3p2(3P)3d 4D0.5
    1   23        875.654      1.583e-04      3.440e+05            3s2.3p3 4S1.5 -       3s2.3p2(3P)3d 4D1.5
    2   23       1006.569      1.634e-05      2.690e+04            3s2.3p3 2D1.5 -       3s2.3p2(3P)3d 4D1.5
    3   23       1006.891      1.421e-04      2.340e+05            3s2.3p3 2D2.5 -       3s2.3p2(3P)3d 4D1.5
    4   23       1115.131      1.280e-05      1.720e+04            3s2.3p3 2P0.5 -       3s2.3p2(3P)3d 4D1.5
    5   23       1115.712      1.006e-05      1.350e+04            3s2.3p3 2P1.5 -       3s2.3p2(3P)3d 4D1.5
