    6   18        427.396      0.000e+00      4.957e+00     3s.3p3 5S2 - 3s2.3p3d 3F4
    8   18        620.197      0.000e+00      1.176e+01     3s.3p3 3D2 - 3s2.3p3d 3F4
    9   18        631.237      0.000e+00      1.449e+01     3s.3p3 3D3 - 3s2.3p3d 3F4
   12   18        845.166      0.000e+00      2.179e+01     3s.3p3 3P2 - 3s2.3p3d 3F4
   13   18       1160.200      0.000e+00      2.408e-01     3s.3p3 1D2 - 3s2.3p3d 3F4
   16   18      10894.433      0.000e+00      1.552e+01   3s2.3p3d 3F3 - 3s2.3p3d 3F4
    2   19        209.621      6.100e-01      1.852e+10    3s2.3p2 3P1 - 3s2.3p3d 3P2
    3   19        213.771      6.317e-01      1.844e+10    3s2.3p2 3P2 - 3s2.3p3d 3P2
    4   19        228.159      5.837e-01      1.496e+10    3s2.3p2 1D2 - 3s2.3p3d 3P2
    1   20        202.044      8.524e-01      4.643e+10    3s2.3p2 3P0 - 3s2.3p3d 3P1
    2   20        205.915      4.976e-03      2.609e+08    3s2.3p2 3P1 - 3s2.3p3d 3P1
    3   20        209.919      1.432e-01      7.227e+09    3s2.3p2 3P2 - 3s2.3p3d 3P1
    4   20        223.777      1.781e-02      7.909e+08    3s2.3p2 1D2 - 3s2.3p3d 3P1
    5   20        247.872      1.474e-03      5.334e+07    3s2.3p2 1S0 - 3s2.3p3d 3P1
    2   21        204.263      6.302e-01      2.015e+10    3s2.3p2 3P1 - 3s2.3p3d 1D2
    3   21        208.202      5.443e-03      1.675e+08    3s2.3p2 3P2 - 3s2.3p3d 1D2
    4   21        221.827      1.367e+00      3.705e+10    3s2.3p2 1D2 - 3s2.3p3d 1D2
    2   22        203.164      2.916e-01      4.712e+10    3s2.3p2 3P1 - 3s2.3p3d 3P0
    1   23        197.433      1.432e-01      8.171e+09    3s2.3p2 3P0 - 3s2.3p3d 3D1
    2   23        201.128      7.397e-01      4.066e+10    3s2.3p2 3P1 - 3s2.3p3d 3D1
    3   23        204.945      2.410e-01      1.276e+10    3s2.3p2 3P2 - 3s2.3p3d 3D1
    4   23        218.134      3.244e-02      1.516e+09    3s2.3p2 1D2 - 3s2.3p3d 3D1
    5   23        240.967      3.156e-04      1.209e+07    3s2.3p2 1S0 - 3s2.3p3d 3D1
    3   24        203.828      2.823e+00      6.475e+10    3s2.3p2 3P2 - 3s2.3p3d 3D3
    4   24        216.869      1.217e-01      2.466e+09    3s2.3p2 1D2 - 3s2.3p3d 3D3
    2   25        200.022      7.102e-01      2.368e+10    3s2.3p2 3P1 - 3s2.3p3d 3D2
    3   25        203.797      1.046e+00      3.361e+10    3s2.3p2 3P2 - 3s2.3p3d 3D2
    4   25        216.834      2.474e-01      7.020e+09    3s2.3p2 1D2 - 3s2.3p3d 3D2
    3   26        185.769      1.267e-01      3.499e+09    3s2.3p2 3P2 - 3s2.3p3d 1F3
    4   26        196.540      2.782e+00      6.862e+10    3s2.3p2 1D2 - 3s2.3p3d 1F3
    1   27        175.226      4.982e-03      3.608e+08    3s2.3p2 3P0 - 3s2.3p3d 1P1
    2   27        178.131      2.231e-03      1.563e+08    3s2.3p2 3P1 - 3s2.3p3d 1P1
    3   27        181.119      3.985e-05      2.701e+06    3s2.3p2 3P2 - 3s2.3p3d 1P1
    4   27        191.343      4.200e-04      2.550e+07    3s2.3p2 1D2 - 3s2.3p3d 1P1
    5   27        208.689      1.112e+00      5.679e+10    3s2.3p2 1S0 - 3s2.3p3d 1P1
qq -1
%filename: fe_13.wgfa
%observed energy levels (1-3): Penn & Kuhn, 1994, ApJ, 434, 807
%observed energy levels (6,9- 11,13,15,16,22): Jupen et al., 1993, MNRAS, 264, 627
%observed energy levels(4-5,7-8,12,14,17-21,23-27): NIST Database for Atomic
   Spectroscopy, Version 1.0, NIST Standard Reference Database 61, 1995.
%A-values: Young, P.R., 2004, A&A, 417, 785
%comment: In Young (2004) the current A-values are compared with those in earlier
    versions of CHIANTI and excellent agreement is found.
%produced as part of the Arcetri/Cambridge/NRL 'CHIANTI' atomic data base collaboration
%
%   Peter Young - 16-Jun-2003
%Prepared for the CHIANTI database by Peter Young, 16-Jun-2003
 -1




p
qq
26 13   1  2  2 0.000E+00 8.437E-02 3.000E+02 4.869E-02 3.229E-02 2.048E-02 1.053E-02 3.792E-05
26 13   1  3  2 0.000E+00 1.684E-01 2.000E+02 1.181E-01 1.043E-01 8.775E-02 6.902E-02 3.200E-02
26 13   1  4  2 0.000E+00 4.374E-01 1.500E+02 9.760E-03 5.260E-03 3.049E-03 1.462E-03 2.681E-05
26 13   1  5  2 0.000E+00 8.332E-01 5.000E+01 9.953E-04 5.735E-04 3.266E-04 1.591E-04 2.574E-05
26 13   1  6  3 2.779E-01 1.970E+00 1.500E+01 1.081E-03 3.673E-02 6.218E-02 9.395E-02 1.374E-01
26 13   1  7  1 8.990E-02 2.619E+00 5.000E+00 3.627E-01 2.432E-01 1.860E-01 1.651E-01 1.379E-01
26 13   1  8  2 0.000E+00 2.620E+00 1.500E+01 1.493E-02 9.322E-03 5.631E-03 2.659E-03 1.194E-05
26 13   1  9  2 0.000E+00 2.648E+00 1.500E+01 1.017E-03 9.865E-04 8.329E-04 6.329E-04 1.003E-04
26 13   1 10  2 0.000E+00 2.992E+00 1.000E+01 1.191E-03 7.677E-04 4.885E-04 2.926E-04 1.312E-04
26 13   1 11  1 6.670E-02 2.999E+00 5.000E+00 2.207E-01 1.512E-01 1.178E-01 1.058E-01 8.934E-02
26 13   1 12  2 0.000E+00 3.004E+00 1.000E+01 5.467E-03 3.516E-03 2.223E-03 1.269E-03 4.652E-04
26 13   1 13  2 0.000E+00 3.299E+00 1.000E+01 9.389E-03 5.876E-03 3.632E-03 1.817E-03 1.826E-04
26 13   1 14  1 2.270E-01 3.780E+00 5.000E+00 5.342E-01 3.757E-01 3.031E-01 2.819E-01 2.412E-01
26 13   1 15  2 0.000E+00 3.926E+00 1.000E+01 1.169E-02 6.863E-03 4.112E-03 2.108E-03 5.337E-04
26 13   1 16  2 0.000E+00 3.991E+00 5.000E+00 1.632E-02 1.602E-02 1.508E-02 1.335E-02 8.464E-03
26 13   1 17  1 2.640E-02 3.997E+00 5.000E+00 5.667E-02 4.060E-02 3.301E-02 3.061E-02 2.652E-02
26 13   1 18  2 0.000E+00 4.088E+00 8.000E+00 3.002E-03 2.000E-03 1.294E-03 8.267E-04 4.305E-04
26 13   1 19  2 0.000E+00 4.435E+00 8.000E+00 7.998E-03 5.224E-03 3.186E-03 1.608E-03 2.142E-05
26 13   1 20  1 1.190E+00 4.510E+00 5.000E+00 2.112E+00 1.537E+00 1.278E+00 1.213E+00 1.060E+00
26 13   1 21  2 0.000E+00 4.550E+00 5.000E+00 4.234E-03 2.946E-03 1.917E-03 1.018E-03 3.301E-06
26 13   1 22  2 0.000E+00 4.584E+00 6.000E+00 4.654E-04 3.040E-04 1.916E-04 9.860E-05 3.652E-07
26 13   1 23  1 7.640E-02 4.617E+00 4.000E+00 1.449E-01 1.044E-01 8.344E-02 7.654E-02 6.657E-02
26 13   1 24  2 0.000E+00 4.633E+00 5.000E+00 7.841E-03 7.137E-03 6.159E-03 5.000E-03 2.572E-03
26 13   1 25  2 0.000E+00 4.641E+00 6.000E+00 2.485E-03 1.656E-03 1.038E-03 5.288E-04 1.966E-06
26 13   1 26  2 0.000E+00 5.197E+00 6.000E+00 5.960E-03 3.946E-03 2.506E-03 1.338E-03 1.251E-04
26 13   1 27  4 3.940E-03 5.197E+00 5.000E+00 4.992E-03 4.071E-03 3.444E-03 3.224E-03 3.047E-03
26 13   2  3  2 0.000E+00 8.399E-02 4.000E+02 2.798E-01 2.307E-01 1.852E-01 1.394E-01 6.205E-02
26 13   2  4  2 0.000E+00 3.621E-01 8.000E+01 6.885E-02 5.102E-02 3.612E-02 2.320E-02 4.935E-03
26 13   2  5  2 0.000E+00 7.489E-01 5.000E+01 5.014E-03 3.219E-03 1.928E-03 1.080E-03 3.102E-04
26 13   2  6  4 1.560E-03 1.886E+00 1.000E+01 1.749E-02 9.182E-03 5.114E-03 4.337E-03 3.332E-03
26 13   2  7  1 2.170E-02 2.535E+00 6.000E+00 9.875E-02 6.273E-02 4.665E-02 4.269E-02 3.447E-02
26 13   2  8  1 1.820E-01 2.536E+00 6.000E+00 7.245E-01 4.812E-01 3.811E-01 3.511E-01 2.883E-01
26 13   2  9  2 0.000E+00 2.564E+00 2.000E+01 1.784E-02 1.090E-02 6.996E-03 4.447E-03 2.249E-03
26 13   2 10  1 7.860E-02 2.908E+00 6.000E+00 2.474E-01 1.724E-01 1.393E-01 1.295E-01 1.086E-01
26 13   2 11  1 1.110E-01 2.915E+00 5.000E+00 3.779E-01 2.614E-01 2.026E-01 1.838E-01 1.531E-01
26 13   2 12  1 3.790E-02 2.920E+00 5.000E+00 1.339E-01 9.260E-02 7.018E-02 6.206E-02 5.218E-02
26 13   2 13  4 6.190E-03 3.215E+00 6.000E+00 2.932E-02 1.807E-02 1.096E-02 8.503E-03 7.792E-03
26 13   2 14  1 5.810E-01 3.696E+00 5.000E+00 1.397E+00 9.888E-01 7.979E-01 7.374E-01 6.314E-01
26 13   2 15  4 6.870E-03 3.842E+00 5.000E+00 2.727E-02 2.096E-02 1.438E-02 8.742E-03 7.159E-03
26 13   2 16  2 0.000E+00 3.907E+00 1.000E+01 2.729E-02 1.726E-02 1.098E-02 6.073E-03 1.479E-03
26 13   2 17  1 1.680E-01 3.913E+00 5.000E+00 3.793E-01 2.664E-01 2.150E-01 1.995E-01 1.725E-01
26 13   2 18  2 0.000E+00 4.004E+00 1.000E+01 3.111E-02 2.708E-02 2.237E-02 1.764E-02 9.673E-03
26 13   2 19  1 7.510E-01 4.351E+00 5.000E+00 1.404E+00 1.027E+00 8.447E-01 7.857E-01 6.929E-01
26 13   2 20  1 5.530E-02 4.426E+00 5.000E+00 1.097E-01 7.697E-02 6.150E-02 5.669E-02 5.019E-02
26 13   2 21  1 1.070E+00 4.465E+00 5.000E+00 1.933E+00 1.405E+00 1.168E+00 1.108E+00 9.624E-01
26 13   2 22  1 3.580E-01 4.500E+00 5.000E+00 6.414E-01 4.670E-01 3.876E-01 3.667E-01 3.195E-01
26 13   2 23  1 8.910E-01 4.533E+00 5.000E+00 1.607E+00 1.156E+00 9.618E-01 9.209E-01 7.898E-01
26 13   2 24  2 0.000E+00 4.548E+00 5.000E+00 2.876E-02 2.414E-02 1.920E-02 1.401E-02 4.242E-03
26 13   2 25  1 6.700E-01 4.556E+00 5.000E+00 1.154E+00 8.565E-01 7.076E-01 6.574E-01 5.901E-01
26 13   2 26  2 0.000E+00 4.992E+00 6.000E+00 2.259E-02 1.434E-02 8.833E-03 4.276E-03 1.756E-05
26 13   2 27  1 3.050E-03 5.113E+00 5.000E+00 9.752E-03 5.071E-03 3.138E-03 2.623E-03 2.407E-03
26 13   3  4  2 0.000E+00 2.690E-01 1.500E+02 2.188E-01 1.696E-01 1.296E-01 9.417E-02 4.323E-02
26 13   3  5  2 0.000E+00 6.649E-01 5.000E+01 2.488E-02 1.980E-02 1.571E-02 1.196E-02 6.416E-03
26 13   3  6  4 2.770E-03 1.802E+00 8.000E+00 3.323E-02 1.839E-02 9.722E-03 7.113E-03 6.210E-03
26 13   3  7  1 8.540E-04 2.451E+00 5.000E+00 5.618E-03 3.643E-03 2.343E-03 1.461E-03 1.395E-03
26 13   3  8  1 4.210E-03 2.452E+00 6.000E+00 3.879E-02 1.939E-02 1.085E-02 8.476E-03 6.947E-03
26 13   3  9  1 2.250E-01 2.480E+00 5.000E+00 9.938E-01 6.680E-01 5.010E-01 4.317E-01 3.644E-01
26 13   3 10  2 0.000E+00 2.824E+00 1.000E+01 4.980E-03 3.392E-03 2.138E-03 1.102E-03 3.862E-06
26 13   3 11  1 5.260E-02 2.831E+00 5.000E+00 1.984E-01 1.330E-01 1.006E-01 9.003E-02 7.474E-02
26 13   3 12  1 3.290E-01 2.836E+00 5.000E+00 1.191E+00 8.070E-01 6.197E-01 5.513E-01 4.661E-01
26 13   3 13  4 6.340E-03 3.131E+00 5.000E+00 4.928E-02 2.972E-02 1.487E-02 7.838E-03 8.218E-03
26 13   3 14  1 1.200E+00 3.612E+00 5.000E+00 2.884E+00 2.097E+00 1.690E+00 1.543E+00 1.334E+00
26 13   3 15  1 9.230E-03 3.758E+00 5.000E+00 4.917E-02 2.707E-02 1.609E-02 1.186E-02 9.906E-03
26 13   3 16  1 2.800E-02 3.823E+00 5.000E+00 1.047E-01 6.524E-02 4.446E-02 3.468E-02 2.943E-02
26 13   3 17  1 3.910E-02 3.823E+00 5.000E+00 1.042E-01 6.897E-02 5.206E-02 4.624E-02 4.111E-02
26 13   3 18  2 0.000E+00 3.920E+00 7.000E+00 6.150E-02 5.162E-02 4.172E-02 3.147E-02 1.298E-02
26 13   3 19  1 6.870E-01 4.267E+00 5.000E+00 1.355E+00 9.717E-01 7.959E-01 7.464E-01 6.467E-01
26 13   3 20  1 1.050E-01 4.342E+00 5.000E+00 2.137E-01 1.506E-01 1.214E-01 1.128E-01 9.715E-02
26 13   3 21  1 3.030E-02 4.381E+00 4.000E+00 8.298E-02 5.305E-02 3.733E-02 3.137E-02 2.785E-02
26 13   3 22  2 0.000E+00 4.416E+00 6.000E+00 3.262E-03 2.106E-03 1.299E-03 6.404E-04 2.528E-06
26 13   3 23  1 3.690E-01 4.449E+00 4.000E+00 6.963E-01 5.274E-01 4.187E-01 3.650E-01 3.330E-01
26 13   3 24  1 3.640E+00 4.464E+00 4.000E+00 7.019E+00 5.174E+00 4.130E+00 3.710E+00 3.277E+00
26 13   3 25  1 1.390E+00 4.472E+00 4.000E+00 2.707E+00 1.986E+00 1.579E+00 1.416E+00 1.249E+00
26 13   3 26  1 1.570E-01 4.908E+00 4.000E+00 2.980E-01 2.107E-01 1.623E-01 1.436E-01 1.286E-01
26 13   3 27  4 1.160E-03 5.029E+00 5.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
26 13   4  5  2 0.000E+00 3.959E-01 8.000E+01 3.448E-01 3.200E-01 2.788E-01 2.276E-01 1.150E-01
26 13   4  6  2 0.000E+00 1.533E+00 2.000E+01 3.267E-03 2.100E-03 1.342E-03 7.326E-04 1.367E-04
26 13   4  7  4 3.330E-03 2.182E+00 6.000E+00 2.954E-02 1.810E-02 1.003E-02 6.452E-03 6.168E-03
26 13   4  8  2 0.000E+00 2.183E+00 1.200E+01 5.020E-02 4.125E-02 3.255E-02 2.534E-02 1.604E-02
26 13   4  9  1 2.280E-02 2.211E+00 5.000E+00 1.797E-01 1.020E-01 6.419E-02 4.983E-02 4.155E-02
26 13   4 10  2 0.000E+00 2.554E+00 1.000E+01 2.192E-03 1.404E-03 8.769E-04 4.430E-04 9.370E-07
26 13   4 11  4 3.610E-03 2.562E+00 5.000E+00 1.928E-02 1.271E-02 8.437E-03 6.438E-03 5.676E-03
26 13   4 12  2 0.000E+00 2.567E+00 1.000E+01 3.561E-02 2.463E-02 1.609E-02 8.704E-03 2.809E-05
26 13   4 13  1 4.970E-01 2.862E+00 5.000E+00 1.809E+00 1.217E+00 9.349E-01 8.341E-01 6.979E-01
26 13   4 14  1 2.160E-02 3.343E+00 5.000E+00 6.380E-02 4.347E-02 3.369E-02 3.021E-02 2.596E-02
26 13   4 15  1 2.430E-02 3.489E+00 5.000E+00 9.881E-02 5.751E-02 3.859E-02 3.275E-02 2.807E-02
26 13   4 16  2 0.000E+00 3.554E+00 8.000E+00 6.359E-02 4.469E-02 3.166E-02 2.071E-02 8.522E-03
