SEQ='B '     NUCCHG=10                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  24217863.3   NPRNTI= 4   NPRNTF=10
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
             7.51E-23  8.99E-20  5.34E-19  7.74E-19  4.56E-19  2.14E-19  8.71E-20  2.40E-20  8.72E-21
   194       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.94E-40  1.16E-28
             4.29E-23  4.56E-20  2.61E-19  3.72E-19  2.17E-19  1.02E-19  4.13E-20  1.14E-20  4.13E-21
   195       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.53E-40  2.12E-28
             8.06E-23  8.69E-20  5.00E-19  7.13E-19  4.17E-19  1.95E-19  7.92E-20  2.18E-20  7.92E-21
   196       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.31E-41  8.36E-30
             3.97E-24  4.78E-21  2.84E-20  4.12E-20  2.43E-20  1.14E-20  4.64E-21  1.28E-21  4.64E-22
   197       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.33E-41  8.48E-30
             4.03E-24  4.84E-21  2.88E-20  4.18E-20  2.46E-20  1.15E-20  4.70E-21  1.29E-21  4.71E-22
   198       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.45E-44  4.76E-32
             2.26E-26  2.73E-23  1.62E-22  2.35E-22  1.39E-22  6.50E-23  2.65E-23  7.28E-24  2.65E-24
   199       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.82E-44  5.00E-32
             2.38E-26  2.86E-23  1.70E-22  2.47E-22  1.46E-22  6.82E-23  2.78E-23  7.65E-24  2.78E-24
   200       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.08E-46  6.89E-35
             3.28E-29  3.94E-26  2.34E-25  3.40E-25  2.01E-25  9.40E-26  3.83E-26  1.05E-26  3.83E-27
   201       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.24E-46  7.91E-35
             3.76E-29  4.53E-26  2.69E-25  3.90E-25  2.30E-25  1.08E-25  4.40E-26  1.21E-26  4.40E-27
   202       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.68E-38  1.17E-26
             5.79E-21  7.15E-18  4.29E-17  6.24E-17  3.69E-17  1.73E-17  7.05E-18  1.94E-18  7.07E-19
   203       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.34E-38  3.58E-27
             1.28E-21  1.34E-18  7.67E-18  1.09E-17  6.35E-18  2.97E-18  1.21E-18  3.31E-19  1.20E-19
   204       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.25E-38  3.50E-27
             1.28E-21  1.35E-18  7.72E-18  1.10E-17  6.40E-18  2.99E-18  1.22E-18  3.34E-19  1.22E-19
   205       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.17E-39  5.04E-27
             2.51E-21  3.11E-18  1.87E-17  2.72E-17  1.61E-17  7.55E-18  3.08E-18  8.47E-19  3.08E-19
   206       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.82E-39  4.80E-27
             2.39E-21  2.96E-18  1.78E-17  2.59E-17  1.53E-17  7.19E-18  2.93E-18  8.06E-19  2.93E-19
   207       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.18E-40  8.36E-29
             4.19E-23  5.21E-20  3.13E-19  4.56E-19  2.70E-19  1.27E-19  5.16E-20  1.42E-20  5.17E-21
   208       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.50E-40  1.06E-28
             5.34E-23  6.64E-20  3.99E-19  5.81E-19  3.44E-19  1.61E-19  6.58E-20  1.81E-20  6.59E-21
   209       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.32E-42  5.25E-30
             2.65E-24  3.30E-21  1.98E-20  2.89E-20  1.71E-20  8.03E-21  3.27E-21  9.01E-22  3.28E-22
   210       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.40E-42  5.31E-30
             2.68E-24  3.34E-21  2.01E-20  2.93E-20  1.73E-20  8.13E-21  3.31E-21  9.12E-22  3.32E-22
   211       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.03E-44  3.61E-32
             1.82E-26  2.27E-23  1.36E-22  1.99E-22  1.18E-22  5.53E-23  2.25E-23  6.21E-24  2.26E-24
   212       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.27E-44  3.79E-32
             1.91E-26  2.38E-23  1.43E-22  2.09E-22  1.24E-22  5.80E-23  2.36E-23  6.51E-24  2.37E-24
   213       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.16E-46  8.31E-35
             4.19E-29  5.22E-26  3.14E-25  4.58E-25  2.71E-25  1.27E-25  5.19E-26  1.43E-26  5.19E-27
   214       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.35E-46  9.72E-35
             4.90E-29  6.11E-26  3.67E-25  5.36E-25  3.17E-25  1.49E-25  6.06E-26  1.67E-26  6.07E-27
   215       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.03E-38  7.05E-27
             3.46E-21  4.25E-18  2.55E-17  3.70E-17  2.19E-17  1.03E-17  4.18E-18  1.15E-18  4.19E-19
   216       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.32E-38  1.58E-26
             7.76E-21  9.53E-18  5.71E-17  8.30E-17  4.91E-17  2.30E-17  9.38E-18  2.58E-18  9.40E-19
   217       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  9.30E-39  7.05E-27
             3.65E-21  4.62E-18  2.80E-17  4.09E-17  2.42E-17  1.14E-17  4.64E-18  1.28E-18  4.65E-19
   218       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.52E-38  1.03E-26
             5.05E-21  6.20E-18  3.71E-17  5.40E-17  3.19E-17  1.50E-17  6.10E-18  1.68E-18  6.11E-19
   219       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.04E-39  3.08E-27
             1.60E-21  2.03E-18  1.23E-17  1.80E-17  1.07E-17  5.02E-18  2.04E-18  5.63E-19  2.05E-19
   220       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.99E-38  5.40E-26
             2.64E-20  3.24E-17  1.94E-16  2.81E-16  1.66E-16  7.80E-17  3.18E-17  8.75E-18  3.18E-18
   221       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.85E-39  2.94E-27
             1.53E-21  1.94E-18  1.17E-17  1.72E-17  1.02E-17  4.78E-18  1.95E-18  5.37E-19  1.95E-19
   222       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.03E-37  6.95E-26
             3.40E-20  4.17E-17  2.49E-16  3.62E-16  2.14E-16  1.00E-16  4.09E-17  1.13E-17  4.10E-18
   223       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.47E-41  4.98E-29
             2.60E-23  3.30E-20  2.00E-19  2.93E-19  1.74E-19  8.15E-20  3.32E-20  9.15E-21  3.33E-21
   224       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  9.44E-41  7.27E-29
             3.79E-23  4.82E-20  2.92E-19  4.27E-19  2.53E-19  1.19E-19  4.85E-20  1.34E-20  4.86E-21
   225       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.52E-42  3.50E-30
             1.83E-24  2.33E-21  1.41E-20  2.07E-20  1.23E-20  5.77E-21  2.35E-21  6.47E-22  2.35E-22
   226       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.57E-42  3.53E-30
             1.85E-24  2.36E-21  1.43E-20  2.09E-20  1.24E-20  5.83E-21  2.37E-21  6.54E-22  2.38E-22
   227       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.45E-44  2.67E-32
             1.40E-26  1.78E-23  1.08E-22  1.58E-22  9.39E-23  4.41E-23  1.80E-23  4.95E-24  1.80E-24
   228       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.61E-44  2.80E-32
             1.47E-26  1.87E-23  1.13E-22  1.66E-22  9.83E-23  4.62E-23  1.88E-23  5.19E-24  1.89E-24
   229       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  9.86E-47  7.64E-35
             4.00E-29  5.10E-26  3.09E-25  4.53E-25  2.69E-25  1.26E-25  5.14E-26  1.42E-26  5.15E-27
   230       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.15E-46  8.93E-35
             4.68E-29  5.96E-26  3.61E-25  5.29E-25  3.14E-25  1.47E-25  6.01E-26  1.65E-26  6.02E-27
   231       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.93E-38  3.24E-26
             1.57E-20  1.91E-17  1.14E-16  1.66E-16  9.78E-17  4.59E-17  1.87E-17  5.14E-18  1.87E-18
   232       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.57E-38  3.79E-26
             1.87E-20  2.29E-17  1.37E-16  2.00E-16  1.18E-16  5.55E-17  2.26E-17  6.22E-18  2.26E-18
   233       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.06E-37  7.32E-26
             3.63E-20  4.47E-17  2.68E-16  3.90E-16  2.31E-16  1.08E-16  4.41E-17  1.22E-17  4.42E-18
   234       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.68E-37  1.18E-25
             5.89E-20  7.30E-17  4.38E-16  6.39E-16  3.78E-16  1.77E-16  7.22E-17  1.99E-17  7.24E-18
   235       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.48E-37  1.74E-25
             8.71E-20  1.08E-16  6.48E-16  9.45E-16  5.59E-16  2.62E-16  1.07E-16  2.94E-17  1.07E-17
   236       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.54E-37  1.74E-25
             8.58E-20  1.05E-16  6.31E-16  9.18E-16  5.42E-16  2.54E-16  1.04E-16  2.85E-17  1.04E-17
   237       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.13E-37  1.47E-25
             7.27E-20  8.95E-17  5.37E-16  7.81E-16  4.62E-16  2.17E-16  8.83E-17  2.43E-17  8.84E-18
   238       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.95E-37  1.36E-25
             6.76E-20  8.36E-17  5.02E-16  7.32E-16  4.33E-16  2.03E-16  8.27E-17  2.28E-17  8.29E-18
   239       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.47E-37  1.70E-25
             8.40E-20  1.03E-16  6.20E-16  9.02E-16  5.33E-16  2.50E-16  1.02E-16  2.81E-17  1.02E-17
   240       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.04E-38  4.18E-26
             2.07E-20  2.56E-17  1.54E-16  2.24E-16  1.32E-16  6.21E-17  2.53E-17  6.97E-18  2.53E-18
   241       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.94E-38  4.10E-26
             2.03E-20  2.51E-17  1.50E-16  2.19E-16  1.30E-16  6.08E-17  2.48E-17  6.82E-18  2.48E-18
   242       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.24E-37  8.66E-26
             4.32E-20  5.35E-17  3.21E-16  4.68E-16  2.77E-16  1.30E-16  5.30E-17  1.46E-17  5.31E-18
   243       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.90E-37  4.05E-25
             1.99E-19  2.45E-16  1.47E-15  2.13E-15  1.26E-15  5.92E-16  2.41E-16  6.64E-17  2.41E-17
   244       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.62E-37  4.55E-25
             2.24E-19  2.75E-16  1.65E-15  2.40E-15  1.42E-15  6.66E-16  2.71E-16  7.47E-17  2.72E-17
   245       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  8.13E-38  5.74E-26
             2.87E-20  3.56E-17  2.14E-16  3.11E-16  1.84E-16  8.65E-17  3.52E-17  9.70E-18  3.53E-18
   246       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  9.62E-38  6.82E-26
             3.42E-20  4.25E-17  2.55E-16  3.72E-16  2.20E-16  1.03E-16  4.21E-17  1.16E-17  4.21E-18
   247       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.12E-37  7.99E-26
             4.01E-20  4.99E-17  3.00E-16  4.37E-16  2.59E-16  1.21E-16  4.94E-17  1.36E-17  4.95E-18
   248       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.69E-37  1.17E-25
             5.75E-20  7.08E-17  4.24E-16  6.18E-16  3.65E-16  1.71E-16  6.98E-17  1.92E-17  6.99E-18
   249       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.53E-37  1.07E-25
             5.37E-20  6.65E-17  3.99E-16  5.82E-16  3.44E-16  1.62E-16  6.58E-17  1.81E-17  6.59E-18
   250       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.90E-38  4.13E-26
             2.06E-20  2.55E-17  1.53E-16  2.23E-16  1.32E-16  6.18E-17  2.52E-17  6.94E-18  2.52E-18
   251       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.87E-38  3.37E-26
             1.67E-20  2.06E-17  1.24E-16  1.80E-16  1.07E-16  5.00E-17  2.04E-17  5.61E-18  2.04E-18
   252       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.35E-38  2.31E-26
             1.14E-20  1.41E-17  8.44E-17  1.23E-16  7.26E-17  3.41E-17  1.39E-17  3.82E-18  1.39E-18
   253       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.86E-38  5.45E-26
             2.71E-20  3.34E-17  2.01E-16  2.92E-16  1.73E-16  8.11E-17  3.30E-17  9.10E-18  3.31E-18
   254       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.82E-38  5.58E-26
             2.81E-20  3.49E-17  2.10E-16  3.06E-16  1.81E-16  8.50E-17  3.46E-17  9.53E-18  3.47E-18
   255       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.61E-38  3.95E-26
             1.98E-20  2.45E-17  1.47E-16  2.15E-16  1.27E-16  5.96E-17  2.43E-17  6.69E-18  2.43E-18
   256       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.77E-38  5.55E-26
             2.79E-20  3.47E-17  2.08E-16  3.04E-16  1.80E-16  8.44E-17  3.44E-17  9.47E-18  3.45E-18
   257       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.57E-38  1.10E-26
             5.46E-21  6.76E-18  4.06E-17  5.91E-17  3.50E-17  1.64E-17  6.69E-18  1.84E-18  6.70E-19
   258       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.98E-39  2.09E-27
             1.04E-21  1.29E-18  7.73E-18  1.13E-17  6.67E-18  3.13E-18  1.27E-18  3.51E-19  1.28E-19
   259       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.95E-40  1.16E-28
             4.37E-23  4.75E-20  2.74E-19  3.92E-19  2.29E-19  1.07E-19  4.36E-20  1.20E-20  4.36E-21
   260       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.28E-39  1.65E-27
             8.36E-22  1.04E-18  6.28E-18  9.17E-18  5.43E-18  2.55E-18  1.04E-18  2.86E-19  1.04E-19
   261       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.44E-39  1.77E-27
             8.94E-22  1.12E-18  6.73E-18  9.81E-18  5.81E-18  2.73E-18  1.11E-18  3.06E-19  1.11E-19
   262       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.47E-40  1.00E-28
             3.74E-23  4.03E-20  2.33E-19  3.32E-19  1.94E-19  9.08E-20  3.69E-20  1.02E-20  3.69E-21
   263       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.18E-39  1.57E-27
             7.93E-22  9.88E-19  5.94E-18  8.67E-18  5.13E-18  2.41E-18  9.82E-19  2.70E-19  9.83E-20
   264       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.32E-39  1.67E-27
             8.43E-22  1.05E-18  6.33E-18  9.23E-18  5.46E-18  2.56E-18  1.04E-18  2.88E-19  1.05E-19
   265       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.73E-39  4.87E-27
             2.46E-21  3.07E-18  1.85E-17  2.70E-17  1.60E-17  7.50E-18  3.05E-18  8.41E-19  3.06E-19
   266       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.71E-41  1.97E-29
             1.00E-23  1.25E-20  7.54E-20  1.10E-19  6.51E-20  3.06E-20  1.25E-20  3.43E-21  1.25E-21
   267       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.46E-41  2.51E-29
             1.28E-23  1.60E-20  9.62E-20  1.40E-19  8.31E-20  3.90E-20  1.59E-20  4.38E-21  1.59E-21
   268       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.53E-39  4.00E-27
             2.02E-21  2.52E-18  1.52E-17  2.22E-17  1.31E-17  6.16E-18  2.51E-18  6.91E-19  2.51E-19
   269       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.83E-41  2.05E-29
             1.04E-23  1.29E-20  7.79E-20  1.14E-19  6.73E-20  3.16E-20  1.29E-20  3.54E-21  1.29E-21
   270       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.88E-41  2.80E-29
             1.42E-23  1.77E-20  1.06E-19  1.55E-19  9.19E-20  4.32E-20  1.76E-20  4.84E-21  1.76E-21
   271       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.30E-39  3.11E-27
             1.57E-21  1.96E-18  1.18E-17  1.72E-17  1.02E-17  4.78E-18  1.95E-18  5.36E-19  1.95E-19
   272       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  9.66E-41  7.00E-29
             3.54E-23  4.42E-20  2.66E-19  3.89E-19  2.30E-19  1.08E-19  4.40E-20  1.21E-20  4.41E-21
   273       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.14E-40  8.29E-29
             4.20E-23  5.24E-20  3.16E-19  4.61E-19  2.73E-19  1.28E-19  5.22E-20  1.44E-20  5.23E-21
   274       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.77E-39  2.73E-27
             1.38E-21  1.73E-18  1.04E-17  1.52E-17  9.00E-18  4.22E-18  1.72E-18  4.74E-19  1.72E-19
   275       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.44E-41  3.94E-29
             2.00E-23  2.49E-20  1.50E-19  2.19E-19  1.30E-19  6.09E-20  2.48E-20  6.84E-21  2.49E-21
   276       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.07E-41  5.13E-29
             2.60E-23  3.24E-20  1.95E-19  2.85E-19  1.69E-19  7.92E-20  3.23E-20  8.89E-21  3.23E-21
   277       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.39E-37  9.93E-26
             5.00E-20  6.22E-17  3.74E-16  5.46E-16  3.23E-16  1.52E-16  6.18E-17  1.70E-17  6.19E-18
   278       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.44E-39  3.23E-27
             1.64E-21  2.05E-18  1.23E-17  1.80E-17  1.07E-17  5.01E-18  2.04E-18  5.62E-19  2.05E-19
   279       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.57E-39  2.59E-27
             1.31E-21  1.64E-18  9.86E-18  1.44E-17  8.52E-18  4.00E-18  1.63E-18  4.49E-19  1.63E-19
   280       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.52E-39  5.44E-27
             2.75E-21  3.44E-18  2.07E-17  3.02E-17  1.79E-17  8.40E-18  3.42E-18  9.42E-19  3.43E-19
   281       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.76E-39  2.73E-27
             1.38E-21  1.72E-18  1.04E-17  1.51E-17  8.97E-18  4.21E-18  1.72E-18  4.73E-19  1.72E-19
   282       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.33E-39  9.63E-28
             4.88E-22  6.10E-19  3.68E-18  5.36E-18  3.18E-18  1.49E-18  6.08E-19  1.67E-19  6.09E-20
   283       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.65E-41  3.40E-29
             1.73E-23  2.16E-20  1.30E-19  1.90E-19  1.13E-19  5.28E-20  2.15E-20  5.93E-21  2.16E-21
   284       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.12E-41  4.46E-29
             2.27E-23  2.84E-20  1.71E-19  2.49E-19  1.48E-19  6.93E-20  2.83E-20  7.78E-21  2.83E-21
   285       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.98E-41  2.16E-29
             1.10E-23  1.37E-20  8.26E-20  1.21E-19  7.14E-20  3.35E-20  1.36E-20  3.76E-21  1.37E-21
   286       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.10E-41  2.98E-29
             1.51E-23  1.89E-20  1.14E-19  1.66E-19  9.84E-20  4.62E-20  1.88E-20  5.19E-21  1.89E-21
   287       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.52E-40  1.83E-28
             9.29E-23  1.16E-19  7.00E-19  1.02E-18  6.05E-19  2.84E-19  1.16E-19  3.19E-20  1.16E-20
   288       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.72E-37  1.24E-25
             6.23E-20  7.76E-17  4.67E-16  6.80E-16  4.03E-16  1.89E-16  7.70E-17  2.12E-17  7.72E-18
   289       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  8.56E-42  6.23E-30
             3.16E-24  3.96E-21  2.39E-20  3.48E-20  2.06E-20  9.68E-21  3.94E-21  1.09E-21  3.95E-22
   290       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.51E-41  1.10E-29
             5.59E-24  7.00E-21  4.22E-20  6.16E-20  3.65E-20  1.71E-20  6.98E-21  1.92E-21  6.99E-22
   291       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.06E-40  7.68E-29
             3.89E-23  4.86E-20  2.93E-19  4.27E-19  2.53E-19  1.19E-19  4.84E-20  1.33E-20  4.85E-21
   292       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  9.73E-41  7.07E-29
             3.58E-23  4.48E-20  2.70E-19  3.94E-19  2.33E-19  1.10E-19  4.46E-20  1.23E-20  4.47E-21
   293       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.87E-39  1.36E-27
             6.87E-22  8.59E-19  5.17E-18  7.55E-18  4.47E-18  2.10E-18  8.55E-19  2.35E-19  8.57E-20
   294       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.77E-42  3.27E-30
