SEQ='B '     NUCCHG=10                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  24217863.3   NPRNTI= 4   NPRNTF=10
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
   116     1    1S2 2S2 5D1         (2)2( 1.5)  1100200.4 
   117     1    1S2 2S2 5D1         (2)2( 2.5)  1100221.6 
   118     2    1S2 2S1 2P1 4P1     (4)2( 0.5)  1100311.3 
   119     2    1S2 2S1 2P1 4P1     (4)2( 1.5)  1100661.0 
   120     7    1S2 2P2 3D1         (2)3( 2.5)  1100830.3 
   121     3    1S2 2S1 2P1 4P1     (4)2( 2.5)  1101232.8 
   122     8    1S2 2P2 3D1         (4)1( 2.5)  1101500.2 
   123     8    1S2 2P2 3D1         (4)1( 1.5)  1101948.8 
   124     4    1S2 2S1 2P1 4P1     (4)2( 3.5)  1102057.6 
   125     8    1S2 2P2 3D1         (2)3( 3.5)  1102063.8 
   126     8    1S2 2P2 3D1         (4)1( 0.5)  1102199.7 
   127     3    1S2 2S1 2P1 4P1     (2)1( 0.5)  1102806.4 
   128     3    1S2 2S1 2P1 4P1     (2)1( 1.5)  1103107.2 
   129     1    1S2 2S2 5F1         (2)3( 2.5)  1103334.4 
   130     1    1S2 2S2 5F1         (2)3( 3.5)  1103343.1 
   131     1    1S2 2S2 5G1         (2)4( 3.5)  1103670.2 
   132     1    1S2 2S2 5G1         (2)4( 4.5)  1103675.2 
   133     3    1S2 2S1 2P1 4P1     (4)0( 1.5)  1104136.5 
   134     3    1S2 2S1 2P1 4P1     (4)1( 0.5)  1106066.6 
   135     4    1S2 2S1 2P1 4P1     (4)1( 1.5)  1106574.8 
   136     4    1S2 2S1 2P1 4P1     (4)1( 2.5)  1106984.1 
   137     9    1S2 2P2 3P1         (2)2( 2.5)  1109393.0 
   138     9    1S2 2P2 3P1         (2)2( 1.5)  1109468.5 
   139     4    1S2 2S1 2P1 4P1     (2)2( 1.5)  1109973.7 
   140     4    1S2 2S1 2P1 4P1     (2)2( 2.5)  1110976.8 
   141     2    1S2 2S1 2P1 4D1     (4)3( 1.5)  1114593.4 
   142     2    1S2 2S1 2P1 4D1     (4)3( 2.5)  1114919.3 
   143     3    1S2 2S1 2P1 4D1     (4)3( 3.5)  1115405.6 
   144     4    1S2 2S1 2P1 4D1     (4)3( 4.5)  1116102.7 
   145     4    1S2 2S1 2P1 4P1     (2)0( 0.5)  1116292.8 
   146     9    1S2 2P2 3P1         (2)1( 0.5)  1117237.3 
   147     9    1S2 2P2 3P1         (2)1( 1.5)  1117979.2 
   148     3    1S2 2S1 2P1 4D1     (4)2( 1.5)  1118918.4 
   149     3    1S2 2S1 2P1 4D1     (4)2( 2.5)  1118920.9 
   150     3    1S2 2S1 2P1 4D1     (4)2( 0.5)  1118928.2 
   151     4    1S2 2S1 2P1 4D1     (4)2( 3.5)  1119593.3 
   152     3    1S2 2S1 2P1 4D1     (4)1( 2.5)  1120272.6 
   153     3    1S2 2S1 2P1 4D1     (2)2( 1.5)  1120445.4 
   154     4    1S2 2S1 2P1 4D1     (4)1( 1.5)  1120717.9 
   155     4    1S2 2S1 2P1 4D1     (4)1( 0.5)  1120838.3 
   156     4    1S2 2S1 2P1 4D1     (2)2( 2.5)  1120916.0 
   157     8    1S2 2P2 3D1         (2)2( 1.5)  1123500.2 
   158     8    1S2 2P2 3D1         (2)2( 2.5)  1123634.1 
   159     2    1S2 2S1 2P1 4F1     (4)3( 2.5)  1124312.5 
   160     2    1S2 2S1 2P1 4F1     (4)3( 3.5)  1124343.4 
   161     3    1S2 2S1 2P1 4F1     (4)3( 1.5)  1124376.9 
   162     3    1S2 2S1 2P1 4F1     (2)3( 2.5)  1124565.6 
   163     3    1S2 2S1 2P1 4F1     (4)3( 4.5)  1124654.8 
   164     3    1S2 2S1 2P1 4F1     (2)3( 3.5)  1124829.4 
   165     3    1S2 2S1 2P1 4F1     (4)4( 2.5)  1125886.7 
   166     3    1S2 2S1 2P1 4F1     (4)4( 3.5)  1126139.5 
   167     4    1S2 2S1 2P1 4F1     (4)4( 4.5)  1126619.4 
   168     4    1S2 2S1 2P1 4F1     (4)4( 5.5)  1127089.2 
   169     4    1S2 2S1 2P1 4F1     (2)4( 3.5)  1127124.0 
   170     4    1S2 2S1 2P1 4D1     (2)3( 2.5)  1127233.6 
   171     4    1S2 2S1 2P1 4F1     (4)2( 3.5)  1127300.4 
   172     4    1S2 2S1 2P1 4F1     (4)2( 2.5)  1127539.0 
   173     4    1S2 2S1 2P1 4F1     (4)2( 1.5)  1127875.1 
   174     4    1S2 2S1 2P1 4F1     (2)4( 4.5)  1127934.2 
   175     4    1S2 2S1 2P1 4F1     (4)2( 0.5)  1128062.6 
   176     4    1S2 2S1 2P1 4F1     (2)2( 2.5)  1128136.4 
   177     4    1S2 2S1 2P1 4D1     (2)3( 3.5)  1128182.1 
   178     4    1S2 2S1 2P1 4F1     (2)2( 1.5)  1128646.8 
   179    10    1S2 2P2 3S1         (2)0( 0.5)  1128872.9 
   180     4    1S2 2S1 2P1 4D1     (2)1( 1.5)  1129152.2 
   181     4    1S2 2S1 2P1 4D1     (2)1( 0.5)  1129741.8 
   182     9    1S2 2P2 3D1         (2)4( 3.5)  1130838.9 
   183     9    1S2 2P2 3D1         (2)4( 4.5)  1130935.9 
   184     9    1S2 2P2 3D1         (2)2( 1.5)  1137152.4 
   185     9    1S2 2P2 3D1         (2)2( 2.5)  1137538.9 
   186     9    1S2 2P2 3D1         (2)3( 3.5)  1139626.1 
   187     9    1S2 2P2 3D1         (2)3( 2.5)  1139906.9 
   188     1    1S2 2S2 6S1         (2)0( 0.5)  1140343.6 
   189     1    1S2 2S2 6P1         (2)1( 0.5)  1145609.9 
   190     1    1S2 2S2 6P1         (2)1( 1.5)  1145661.0 
