SEQ='SI'     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 114332270.4   NPRNTI=10   NPRNTF=55
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
   166     4    3S1 3P2 4P1         (3)2( 1.0)   465321.3 
   167     5    3S1 3P2 4P1         (3)2( 2.0)   465796.1 
   168     5    3S1 3P2 4P1         (3)2( 3.0)   466544.6 
   169  9999    3P3 3D1             (3)4( 3.0)   467576.5 
   170  9999    3P3 3D1             (3)4( 4.0)   467706.7 
   171  9999    3P3 3D1             (3)4( 5.0)   467871.6 
   172     1    3S2 3P1 5P1         (1)1( 1.0)   471640.1 
   173     4    3S1 3P2 4P1         (3)1( 0.0)   472214.5 
   174     5    3S1 3P2 4P1         (3)1( 1.0)   472411.8 
   175     5    3S1 3P2 4P1         (3)1( 2.0)   472711.7 
   176     1    3S2 3P1 5P1         (3)2( 1.0)   472942.7 
   177     1    3S2 3P1 5P1         (3)2( 2.0)   473246.1 
   178     1    3S2 3P1 5P1         (3)1( 0.0)   473869.4 
   179     2    3S2 3P1 5P1         (3)1( 1.0)   474396.7 
   180     2    3S2 3P1 5P1         (3)2( 3.0)   474523.8 
   181     2    3S2 3P1 5P1         (3)1( 2.0)   475096.2 
   182     2    3S2 3P1 5P1         (3)0( 1.0)   476381.0 
   183  9999    3S2 3D2             (3)1( 0.0)   477283.2 
   184  9999    3S2 3D2             (3)1( 1.0)   477339.1 
   185  9999    3S2 3D2             (3)1( 2.0)   477446.9 
   186     2    3S2 3P1 5P1         (1)2( 2.0)   477760.9 
   187  9999    3S2 3D2             (1)4( 4.0)   479544.8 
   188  9999    3P3 3D1             (1)2( 2.0)   479848.4 
   189  9999    3S2 3D2             (1)2( 2.0)   479883.5 
   190     2    3S2 3P1 5P1         (1)0( 0.0)   482515.8 
   191     8    3S1 3P2 4S1         (3)0( 1.0)   483797.2 
   192  9999    3P3 3D1             (1)4( 4.0)   485107.6 
   193     6    3S1 3P2 4P1         (3)2( 1.0)   492547.6 
   194     6    3S1 3P2 4P1         (3)2( 2.0)   492578.4 
   195     6    3S1 3P2 4P1         (3)2( 3.0)   492677.6 
   196     6    3S1 3P2 4P1         (3)3( 2.0)   492782.4 
   197     7    3S1 3P2 4P1         (3)3( 3.0)   493014.1 
   198     7    3S1 3P2 4P1         (3)3( 4.0)   493272.7 
