  6  6  2 19  1 5.593e-02 7.560e+00 1.410e+00 3.439e-02 2.820e-02 2.574e-02 2.376e-02 2.959e-02
  6  6  2 20  2 0.000e+00 7.560e+00 1.100e-01 1.969e-02 1.822e-02 1.724e-02 1.594e-02 1.383e-02
  6  6  2 21  2 0.000e+00 7.560e+00 1.100e-01 2.954e-02 2.732e-02 2.586e-02 2.391e-02 2.075e-02
  6  6  2 22  2 0.000e+00 7.560e+00 1.100e-01 1.721e-02 1.609e-02 1.528e-02 1.411e-02 1.198e-02
  6  6  2 23  2 0.000e+00 7.560e+00 1.100e-01 2.290e-02 2.142e-02 2.033e-02 1.878e-02 1.595e-02
  6  6  2 24  2 0.000e+00 7.560e+00 1.200e-01 4.026e-03 3.289e-03 2.773e-03 2.152e-03 1.218e-03
  6  6  2 25  2 0.000e+00 7.560e+00 1.200e-01 5.041e-03 4.119e-03 3.472e-03 2.696e-03 1.525e-03
  6  6  3  8  1 1.392e+00 5.000e+00 1.300e+00 9.689e-01 9.069e-01 9.013e-01 9.033e-01 1.114e+00
  6  6  3  5  1 2.718e-02 5.000e+00 1.100e+00 8.141e-02 6.154e-02 5.287e-02 4.002e-02 2.172e-02
qq-1
%filename: c_6.splups
%oscillator strengths: Wiese,W.L., Smith,M.W., Glennon,B.M., 1966, Atomic Transition Probabilities, NSRDS-NBS-4
%comment: hydrogenic f values
%effective collision strengths: Aggarwal,K.M., Kingston,A.E., 1991, J. Phys. B, 24, 4583
%comment: fine structure collision assumes LS coupling or distribution according to statistical weights
%comment: effective collision strengths are provided in the range 3.8 < Log T < 6.2
%produced as part of the Arcetri/Cambridge/NRL 'CHIANTI' atomic data base collaboration
%
%  K.P.Dere - Aug 1998
 -1
    1                  1s    1    0  s    2               0.000               0.000
    2                  2s    2    0  s    2         2963904.250               0.000
    3                  2p    2    1  p    6         2964194.667               0.000
    4                  3s    3    0  s    2         3512929.500               0.000
    5                  3p    3    1  p    6         3513015.333               0.000
    6                  3d    3    2  d   10         3513090.200               0.000
    7                  4s    4    0  s    2         3705070.750               0.000
    8                  4p    4    1  p    6         3705107.167               0.000
    9                  4d    4    2  d   10         3705138.600               0.000
   10                  4f    4    3  f   14         3705152.214               0.000
   11                  5s    5    0  s    2         3793997.250               0.000
   12                  5p    5    1  p    6         3794015.667               0.000
   13                  5d    5    2  d   10         3794031.900               0.000
   14                  5f    5    3  f   14         3794038.857               0.000
   15                  5g    5    4  g   18         3794042.667               0.000
   16                  6s    6    0  s    2         3842299.500               0.000
   17                  6p    6    1  p    6         3842310.167               0.000
   18                  6d    6    2  d   10         3842319.600               0.000
   19                  6f    6    3  f   14         3842323.571               0.000
   20                  6g    6    4  g   18         3842325.722               0.000
   21                  6h    6    5  h   22         3842327.182               0.000
 -1
%filename: c_6.fblvl
%energy levels: NIST Atomic Spectra Database Version 2.0
%comment: free-bound data file developed from .elvlc file
%produced as part of the Arcetri/Cambridge/NRL 'CHIANTI' atomic data base collaboration 
%
% Ken Dere - Jul 17 2002
 -1
