  statistical weighted cross sections of H I to  n=10 from Nahar
   79.185132465362557        3.9623001815276433E-020
   79.321189393997187        3.9416001805792995E-020
   79.457246322631832        3.9210001796355376E-020
   79.593303251266477        3.9006001787009376E-020
   79.729360179901121        3.8803001777709188E-020
   79.865417108535766        3.8601001768454831E-020
   80.001474037170411        3.8401001759292080E-020
   80.137530965805055        3.8202001750175160E-020
   80.273587894439700        3.8005001741149852E-020
   80.409644823074345        3.7809001732170375E-020
   80.545701751708989        3.7614001723236698E-020
   80.681758680343620        3.7420001714348840E-020
   80.817815608978279        3.7228001705552606E-020
   80.953872537612924        3.7037001696802190E-020
   81.089929466247554        3.6848001688143400E-020
   81.225986394882199        3.6659001679484609E-020
   81.362043323516858        3.6472001670917443E-020
   81.498100252151488        3.6287001662441914E-020
   81.634157180786133        3.6102001653966379E-020
   81.770214109420778        3.5919001645582469E-020
   81.906271038055408        3.5737001637244371E-020
   82.042327966690067        3.5556001628952091E-020
   82.178384895324712        3.5376001620705624E-020
   82.314441823959342        3.5197001612504975E-020
   82.450498752593987        3.5020001604395951E-020
   82.586555681228646        3.4844001596332733E-020
   82.722612609863276        3.4669001588315334E-020
   82.858669538497921        3.4495001580343753E-020
   82.994726467132566        3.4322001572417978E-020
   83.130783395767210        3.4150001564538022E-020
   83.266840324401855        3.3980001556749696E-020
   83.402897253036500        3.3811001549007177E-020
   83.538954181671144        3.3642001541264658E-020
   83.675011110305789        3.3475001533613770E-020
   83.811068038940434        3.3309001526008700E-020
   83.947124967575078        3.3144001518449436E-020
   84.083181896209709        3.2980001510935991E-020
   84.219238824844368        3.2817001503468358E-020
   84.355295753479012        3.2655001496046537E-020
   84.491352682113643        3.2495001488716347E-020
   84.627409610748288        3.2335001481386152E-020
   84.763466539382947        3.2176001474101774E-020
   84.899523468017577        3.2018001466863203E-020
   85.035580396652222        3.1862001459716269E-020
   85.171637325286866        3.1706001452569329E-020
   85.307694253921497        3.1551001445468207E-020
   85.443751182556156        3.1398001438458709E-020
   85.579808111190800        3.1245001431449212E-020
   85.715865039825431        3.1093001424485528E-020
   85.853282537746438        3.0942001417567661E-020
   85.989339466381068        3.0792001410695601E-020
   86.125396395015713        3.0644001403915178E-020
   86.261453323650358        3.0496001397134742E-020
   86.397510252285002        3.0349001390400132E-020
   86.533567180919647        3.0202001383665515E-020
   86.669624109554292        3.0057001377022528E-020
   86.805681038188936        2.9913001370425355E-020
   86.941737966823581        2.9770001363873999E-020
   87.077794895458226        2.9627001357322638E-020
   87.213851824092870        2.9486001350862901E-020
   87.349908752727501        2.9345001344403170E-020
   87.485965681362160        2.9205001337989252E-020
   87.622022609996804        2.9066001331621152E-020
   87.758079538631435        2.8928001325298859E-020
   87.894136467266080        2.8791001319022377E-020
   88.030193395900739        2.8655001312791715E-020
   88.166250324535369        2.8519001306561052E-020
   88.302307253170014        2.8384001300376201E-020
   88.438364181804658        2.8251001294282976E-020
   88.574421110439303        2.8118001288189756E-020
   88.710478039073948        2.7985001282096530E-020
   88.846534967708592        2.7854001276094941E-020
   88.982591896343223        2.7723001270093346E-020
   89.118648824977868        2.7594001264183376E-020
   89.254705753612527        2.7465001258273406E-020
   89.390762682247157        2.7336001252363436E-020
   89.526819610881802        2.7209001246545096E-020
   89.662876539516446        2.7082001240726757E-020
   89.798933468151091        2.6956001234954233E-020
   89.934990396785736        2.6831001229227518E-020
   90.071047325420381        2.6707001223546619E-020
   90.207104254055025        2.6583001217865719E-020
   90.343161182689670        2.6460001212230635E-020
   90.479218111324315        2.6338001206641361E-020
   90.615275039958959        2.6217001201097905E-020
